Event,Device,Trip,Starttime,Endtime,Duration,Pedestrians,Stoptime
1,10150,5677,14440,14520,80,1,0
2,10150,5773,20030,20230,200,1,0
3,10155,226,52790,53660,870,1,870
4,10155,558,18340,18730,390,1,200
5,10165,34,5040,7420,2380,1,2380
6,10165,55,12440,14510,2070,1,2070
7,10165,77,3550,3700,150,1,0
8,10165,80,61690,61770,80,1,80
9,10165,80,64540,64960,420,1,420
10,10165,215,6990,7390,400,1,0
11,10165,247,3080,3180,100,1,0
12,10165,254,260,820,560,2,330
13,10165,302,83560,85050,1490,1,1490
14,10165,302,86660,89040,2380,1,2380
15,10165,302,89570,90730,1160,1,1160
16,10165,331,210,1070,860,1,0
17,10165,351,590,3150,2560,1,2330
18,10165,379,200,1750,1550,1,1550
19,10165,424,81790,82060,270,1,270
20,10165,435,200,430,230,1,0
21,10165,484,230,1410,1180,1,1180
22,10165,489,78020,78110,90,2,0
23,10165,542,75460,76680,1220,1,950
24,10165,542,78050,80570,2520,1,2430
25,10165,595,89790,89930,140,1,140
26,10165,610,3870,6360,2490,1,2120
27,10165,614,84770,91510,6740,1,6100
28,10165,648,83050,83320,270,1,270
29,10165,652,110380,111500,1120,1,1120
30,10165,652,117390,122610,5220,2,4060
31,10165,800,101460,105290,3830,2,3570
32,10165,810,10740,11590,850,2,810
33,10165,863,123440,124020,580,1,580
34,10165,863,124850,126280,1430,1,1430
35,10165,874,109460,109610,150,1,150
36,10165,971,8160,9820,1660,1,1660
37,10165,1037,840,1550,710,1,480
38,10607,4686,94250,94540,290,3,0
39,10607,5895,50460,50820,360,2,0
40,10607,5924,190350,190510,160,1,0
41,13107,7841,7510,8420,910,1,0
42,13107,8200,10230,10230,0,2,0
43,13107,8414,22680,23270,590,1,0
44,13107,8733,24830,25460,630,1,0
45,13107,9398,9840,10030,190,1,0
46,13107,12416,80220,80500,280,1,0
