Event,Device,Trip,Starttime,Endtime,Duration,Pedestrians,Stoptime
1,10139,5015,4200,4410,210,1,210
2,10146,748,7890,8270,380,1,0
3,10160,710,131420,131430,10,1,0
4,10612,5374,1490,1720,230,1,0
5,13105,5532,39240,39340,100,4,0
6,13105,11397,16360,16460,100,1,0
7,13105,15140,24790,24930,140,2,0
8,13107,7803,2580,3210,630,1,0
9,13107,10276,86340,86430,90,1,0
10,13107,10553,2860,3670,810,1,0
11,13107,11128,47380,47520,140,1,0
12,13107,12135,12860,13440,580,1,0
13,13108,568,83030,83180,150,1,0
14,13108,624,3590,5380,1790,2,1630
15,13108,1140,85990,86100,110,2,0
16,13108,1261,2190,2370,180,1,0
17,13108,1405,70300,70570,270,1,0
18,13108,8093,288840,289010,170,1,0
19,13109,14890,9960,10090,130,2,0
