Event,Device,Trip,Starttime,Endtime,Duration,Pedestrians,Stoptime
1,10122,682,26690,26970,280,1,0
2,10122,995,153550,153920,370,1,0
3,10141,13,162060,162130,70,1,0
4,10141,748,183910,184050,140,3,0
5,10150,518,110100,110340,240,2,0
6,10150,520,5430,5450,20,1,0
7,10150,962,13110,13110,0,1,0
8,10150,3088,670,710,40,1,0
9,10150,4067,53940,54170,230,2,0
10,10155,1051,47280,47480,200,1,0
11,10161,2184,87110,87130,20,1,0
12,10164,186,51810,51860,50,1,0
13,10165,1484,91330,91340,10,2,0
14,10165,1547,303190,303340,150,1,0
15,10204,1530,77850,79690,1840,1,450
16,10205,1919,3820,3900,80,2,0
17,10502,1534,12680,12710,30,1,0
18,10502,3318,6530,6620,90,1,0
19,10502,3319,2970,3040,70,1,0
20,10570,6021,63870,64220,350,1,0
21,10572,25,87260,87270,10,2,0
22,10572,48,94800,94970,170,2,0
23,10572,52,94080,94320,240,2,0
24,10572,72,81300,81330,30,2,0
25,10572,207,4800,5320,520,2,0
26,10572,225,5000,5180,180,1,180
27,10584,92,28190,28370,180,2,0
28,10584,149,28270,28330,60,1,0
29,10584,282,29340,29410,70,1,0
30,10584,288,3500,3660,160,2,0
31,10584,400,30450,31020,570,1,0
32,10584,482,23790,23850,60,1,0
33,10584,487,26840,26920,80,2,0
34,10584,591,30340,30820,480,2,0
35,10584,672,24780,24930,150,2,0
36,10584,765,30250,30570,320,2,0
37,10584,791,52290,52290,0,1,0
38,10584,832,31190,31290,100,2,0
39,10584,871,26350,26550,200,2,0
40,10584,925,92860,92930,70,1,0
41,10584,1029,28570,28820,250,1,0
42,10587,2534,3670,3870,200,2,0
43,10587,2745,39000,39000,0,2,0
44,10587,3245,66530,66630,100,2,0
45,10587,3459,34680,34780,100,1,0
46,10587,3684,40320,40490,170,4,0
47,10587,4052,47300,47490,190,1,0
48,10592,1939,148450,149000,550,1,0
49,10605,8923,37880,38280,400,1,0
50,10607,319,103850,103940,90,1,0
51,10607,412,160480,160970,490,1,0
52,10607,429,106980,107100,120,1,0
53,10607,474,105320,105470,150,2,0
54,10607,508,119220,119410,190,1,0
55,10607,909,99270,99540,270,1,0
56,10607,936,92540,92790,250,2,0
57,10607,936,105820,106450,630,1,0
58,10612,3536,6750,7080,330,1,0
59,10616,977,36940,36970,30,1,0
60,10618,112,95830,96090,260,2,0
61,10618,178,19580,19800,220,1,0
62,10618,222,93460,93730,270,1,0
63,10618,312,14890,14920,30,1,0
64,10618,336,67090,67380,290,1,0
65,10618,337,120230,120950,720,2,0
66,10618,360,15430,15520,90,1,0
67,10618,402,46830,47180,350,1,0
68,10618,402,48570,48670,100,1,0
69,10618,439,34500,34520,20,2,0
70,10618,471,83670,83700,30,1,0
71,10618,487,183670,183780,110,2,0
72,10618,572,104470,104580,110,2,0
73,10618,658,96920,97170,250,1,0
74,10618,721,142470,142540,70,1,0
75,10618,776,13870,14130,260,1,0
76,10618,782,36420,37100,680,1,0
77,10618,799,13670,13960,290,1,0
78,10618,840,189450,189540,90,1,0
79,10618,849,13330,13530,200,1,0
80,10618,943,162110,162580,470,1,0
81,10618,952,10800,11190,390,1,0
82,10618,1027,18730,19260,530,1,0
83,10618,1068,7780,7810,30,1,0
84,10618,1147,225930,225950,20,2,0
85,10618,1173,38300,39020,720,2,0
86,10618,1173,39800,40490,690,2,100
87,10618,1193,184990,185230,240,3,0
88,10618,1230,156420,156840,420,3,0
89,10618,1274,11150,12240,1090,1,210
90,10618,1286,131700,131720,20,2,0
91,10618,1356,136740,137340,600,3,0
92,10618,1433,38750,39010,260,1,0
93,10618,1435,185090,185170,80,1,0
94,10618,1483,177480,177700,220,2,0
95,13103,9590,120040,120070,30,1,0
96,13105,14812,225690,226000,310,2,310
97,13105,14812,231510,231910,400,2,400
98,13105,14812,235610,235890,280,1,280
99,13105,14812,238910,241890,2980,2,2500
100,13105,14813,17510,17620,110,1,0
101,13106,18025,39880,39950,70,1,0
102,13107,3727,27830,28030,200,1,0
103,13107,4728,26490,26950,460,2,0
104,13107,5309,39280,39450,170,2,0
105,13107,5395,37950,38420,470,4,0
106,13107,5702,8930,9280,350,1,0
107,13107,5921,99070,99350,280,2,0
108,13107,6263,42690,42960,270,2,0
109,13107,6263,43550,43580,30,1,0
110,13107,6589,44380,44750,370,2,0
111,13107,6922,43890,44760,870,3,0
112,13107,6968,20600,21640,1040,2,200
113,13107,7502,117820,118400,580,3,0
114,13107,8007,45970,45980,10,1,0
115,13107,9771,52280,52730,450,2,0
116,13107,12067,202040,202630,590,2,0
117,13107,12093,32820,33180,360,1,0
118,13109,12325,15110,15140,30,1,0
119,13109,12440,11800,11950,150,1,0
120,13109,14112,15330,15500,170,1,0
121,13109,14889,40840,40970,130,4,0
122,15901,1,62380,62650,270,1,0
123,17101,866,802290,803530,1240,1,50
124,17101,1228,97000,97100,100,1,0
125,17101,1455,231330,231550,220,1,0
126,17101,1498,1659370,1659780,410,1,0
127,17101,2144,650370,650650,280,2,0
128,17101,2144,1427370,1427580,210,1,0
129,17101,2145,1608600,1608950,350,1,0
130,17102,929,192710,193030,320,1,0
131,17102,929,332330,332440,110,2,0
132,17102,929,865690,865710,20,1,0
133,17102,1576,795870,796050,180,1,0
