Event,Device,Trip,Starttime,Endtime,Duration,Pedestrians,Stoptime
1,10139,6109,1670,1770,100,3,0
2,10139,6109,2660,2880,220,3,0
3,10141,903,209360,209580,220,1,0
4,10150,2957,6910,6910,0,4,0
5,10150,5486,11670,12020,350,3,0
6,10150,5588,41680,41770,90,1,0
7,10150,5651,9770,10140,370,4,120
8,10150,5655,18240,18500,260,4,0
9,10150,5753,6580,6750,170,1,0
10,10150,5773,16890,17180,290,5,0
11,10150,5794,7390,7550,160,3,0
12,10150,5802,19180,19210,30,1,0
13,10155,446,21910,23840,1930,2,1730
14,10502,1903,7380,7530,150,1,0
15,10572,181,3960,4550,590,1,300
16,10594,10088,23150,24050,900,2,0
17,10607,5508,130510,130700,190,1,0
18,10607,5526,241300,241570,270,1,0
19,10612,4082,7440,7460,20,3,0
20,10616,977,21290,21490,200,1,0
21,13107,7764,28810,28910,100,1,0
22,13107,7841,11080,11260,180,1,0
23,13107,8007,60710,60970,260,1,0
24,13107,8307,13260,14200,940,1,0
25,13107,8515,10780,11060,280,1,0
26,13107,8627,15250,15430,180,1,0
27,13107,9397,65280,65800,520,3,0
28,13107,9398,12390,12560,170,1,0
29,13107,10413,11270,11530,260,2,80
30,13107,11176,24980,25110,130,1,0
31,13107,11651,45220,45400,180,3,0
32,13108,1051,9250,9370,120,1,0
33,13108,8353,9630,10450,820,1,0
34,13108,8570,50720,51250,530,2,0
35,13108,8570,52970,53420,450,1,0
