Event,Device,Trip,Starttime,Endtime,Duration,Pedestrians,Stoptime
1,10122,155,144760,144810,50,1,0
2,10122,202,148050,148150,100,2,0
3,10122,202,148970,149290,320,2,0
4,10122,242,157450,157630,180,1,0
5,10122,255,171000,171160,160,1,0
6,10122,278,202090,202260,170,3,0
7,10122,285,134320,134400,80,1,0
8,10122,289,18790,19520,730,2,260
9,10122,289,20730,20840,110,1,0
10,10122,289,34170,34430,260,1,0
11,10122,291,480630,480780,150,3,0
12,10122,292,52390,52980,590,1,0
13,10122,295,149140,149510,370,3,0
14,10122,305,160210,160430,220,1,0
15,10122,312,141280,144260,2980,2,480
16,10122,317,148190,148390,200,1,0
17,10122,318,5010,5140,130,1,0
18,10122,331,90360,90420,60,3,0
19,10122,337,220880,221430,550,4,0
20,10122,342,1920,2150,230,1,0
21,10122,347,168720,168930,210,1,0
22,10122,351,153050,153890,840,3,60
23,10122,352,3140,3430,290,2,0
24,10122,354,173640,173770,130,2,0
25,10122,357,135800,136040,240,4,0
26,10122,370,161340,161430,90,1,0
27,10122,371,6070,6160,90,1,0
28,10122,387,6090,6220,130,1,0
29,10122,403,158750,158870,120,3,0
30,10122,409,135150,135410,260,2,0
31,10122,410,290,520,230,2,0
32,10122,416,4580,4710,130,1,0
33,10122,425,154680,154770,90,3,0
34,10122,430,181570,181690,120,2,0
35,10122,432,173070,173130,60,2,0
36,10122,433,3040,3580,540,2,0
37,10122,438,2430,2570,140,2,0
38,10122,446,195350,195490,140,2,0
39,10122,447,8660,8740,80,1,0
40,10122,449,5090,5220,130,1,0
41,10122,454,8750,8930,180,1,0
42,10122,456,82900,83020,120,1,0
43,10122,457,1880,2210,330,1,0
44,10122,459,147370,147880,510,2,0
45,10122,469,2020,2150,130,1,0
46,10122,472,3440,3450,10,1,0
47,10122,476,6260,6440,180,1,0
48,10122,479,8680,8770,90,2,0
49,10122,496,2820,3390,570,1,560
50,10122,499,142510,143110,600,2,0
51,10122,500,2540,2620,80,1,0
52,10122,505,137730,137870,140,2,0
53,10122,515,1910,1910,0,1,0
54,10122,544,144810,145040,230,2,0
55,10122,545,3680,3760,80,1,0
56,10122,551,3930,4020,90,3,0
57,10122,555,66950,67080,130,1,0
58,10122,577,151130,151380,250,2,0
59,10122,578,2680,2820,140,1,0
60,10122,586,13860,14030,170,2,0
61,10122,589,123660,124300,640,2,30
62,10122,604,7440,7630,190,1,0
63,10122,607,160700,160770,70,3,0
64,10122,612,163330,163350,20,2,0
65,10122,622,157950,158260,310,2,0
66,10122,623,2210,2510,300,2,0
67,10122,634,7050,7090,40,1,0
68,10122,646,6880,7110,230,2,0
69,10122,648,158980,159250,270,1,0
70,10122,649,2970,3150,180,1,0
71,10122,650,154170,154310,140,3,0
72,10122,655,153930,154160,230,2,0
73,10122,662,155520,155630,110,2,0
74,10122,665,143780,144070,290,1,0
75,10122,668,7380,7410,30,2,0
76,10122,668,8060,8160,100,1,0
77,10122,680,3470,3570,100,1,0
78,10122,683,2660,2790,130,1,0
79,10122,687,3150,3250,100,1,0
80,10122,699,1760,1920,160,1,0
81,10122,702,1100,1370,270,1,0
82,10122,704,151670,151920,250,1,0
83,10122,723,182920,182930,10,2,0
84,10122,742,5070,5410,340,1,0
85,10122,744,11120,11310,190,2,0
86,10122,744,15710,15760,50,1,0
87,10122,747,1560,1640,80,2,0
88,10122,760,148090,148170,80,1,0
89,10122,778,151660,152020,360,4,0
90,10122,798,1550,1750,200,1,0
91,10122,801,171210,171450,240,1,0
92,10122,809,1640,1750,110,1,0
93,10122,817,1180,1270,90,1,0
94,10122,822,3060,3090,30,1,0
95,10122,862,3810,4610,800,1,330
96,10122,865,161940,162260,320,2,0
97,10122,866,3360,3490,130,1,0
98,10122,871,61080,61200,120,2,0
99,10122,878,9450,9560,110,1,0
100,10122,887,159520,159670,150,2,0
101,10122,895,4500,4650,150,1,0
102,10122,902,2690,2880,190,1,0
103,10122,915,164500,164660,160,4,0
104,10122,922,47080,47150,70,1,0
105,10122,946,4720,4720,0,1,0
106,10122,961,157430,157660,230,1,0
107,10122,971,115830,116080,250,1,0
108,10122,972,320,920,600,2,0
109,10122,983,201590,201710,120,1,0
110,10122,988,5760,5930,170,1,0
111,10122,989,157700,157800,100,1,0
112,10122,990,2190,2570,380,3,0
113,10122,998,1420,1490,70,1,0
114,10122,999,42880,43110,230,2,0
115,10122,1006,150840,151650,810,3,190
116,10122,1011,148240,148330,90,1,0
117,10122,1020,180770,180980,210,3,0
118,10122,1024,3640,3760,120,1,0
119,10122,1034,174760,175020,260,1,0
120,10122,1040,185260,185580,320,3,0
121,10122,1043,159210,159540,330,2,0
122,10122,1069,150000,150230,230,2,0
123,10122,1077,162980,163970,990,3,810
124,10122,1086,3500,3720,220,2,0
125,10122,1094,147800,147910,110,1,0
126,10122,1097,2990,3140,150,1,0
127,10122,1118,205470,205590,120,3,0
128,10122,1120,183600,183800,200,3,0
129,10122,1123,85690,85780,90,1,0
130,10122,1126,52900,53010,110,1,0
131,10122,1136,159210,159270,60,1,0
132,10122,1138,185950,186020,70,1,0
133,10122,1138,186680,187210,530,3,250
134,10122,1142,176940,177320,380,2,0
135,10122,1298,1660,1680,20,1,0
136,10122,1304,250180,250190,10,1,0
137,10122,1312,146190,146440,250,2,0
138,10122,1316,5620,5760,140,1,0
139,10122,1318,169130,169560,430,2,0
140,10122,1339,206550,206960,410,3,0
141,10122,1343,429970,430350,380,2,0
142,10122,1345,143840,143900,60,1,0
143,10122,1354,421020,421170,150,2,0
144,10122,1361,171800,171950,150,2,0
145,10122,1366,1910,2100,190,1,0
146,10122,1373,133150,133170,20,2,0
147,10122,1379,517410,517600,190,1,0
148,10122,1381,466410,466740,330,2,0
149,10122,1381,475450,476880,1430,3,370
150,10122,1381,477560,477860,300,4,70
151,10122,1382,1080,1090,10,2,0
152,10122,1385,6420,6560,140,1,0
153,10122,1395,160500,161480,980,2,120
154,10122,1396,2730,3200,470,1,0
155,10122,1397,33710,34000,290,1,0
156,10122,1397,45060,45320,260,1,0
157,10122,1408,152470,152640,170,1,0
158,10122,1409,5970,6170,200,2,0
159,10122,1410,163670,163970,300,1,0
160,10122,1411,1620,1930,310,1,0
161,10122,1412,153990,154150,160,2,0
162,10122,1413,11110,11500,390,2,0
163,10122,1430,196700,198550,1850,2,220
164,10122,1433,144920,145480,560,3,130
165,10122,1437,174680,175380,700,2,200
166,10122,1439,159070,159220,150,2,0
167,10122,1440,380,610,230,3,0
168,10122,1461,2740,3020,280,2,0
169,10122,1463,183460,183500,40,3,0
170,10129,414,27440,27810,370,3,0
171,10137,1247,4490,4530,40,2,0
172,10139,782,72400,73020,620,3,0
173,10139,5020,68450,69010,560,1,410
174,10139,7138,91200,91330,130,3,0
175,10139,7138,91910,92020,110,2,0
176,10141,748,185300,185360,60,1,0
177,10141,748,189930,190650,720,5,0
178,10150,366,82270,82400,130,2,0
179,10150,403,32590,32610,20,2,0
180,10150,769,201070,201670,600,1,570
181,10150,769,214530,214670,140,2,0
182,10150,781,191900,191970,70,2,0
183,10150,781,196210,196510,300,2,240
184,10150,781,199610,200140,530,2,0
185,10150,781,200960,201150,190,2,0
186,10150,781,202430,202660,230,1,0
187,10150,2300,22230,22480,250,5,0
188,10150,2300,23230,23620,390,3,0
189,10150,4039,16090,16490,400,4,0
190,10150,4039,17980,18060,80,1,0
191,10155,659,55820,57370,1550,4,0
192,10160,710,117420,117630,210,2,0
193,10160,710,126000,126130,130,1,0
194,10161,989,40910,41070,160,2,0
195,10161,2166,71060,71170,110,1,0
196,10161,2168,48820,50270,1450,3,0
197,10164,186,56150,56390,240,2,0
198,10164,931,54190,54590,400,1,0
199,10165,908,84490,85310,820,3,0
200,10165,930,68160,68350,190,1,0
201,10165,930,73200,73510,310,2,310
202,10165,930,98470,99420,950,1,930
203,10165,930,100170,101710,1540,1,1540
204,10165,930,108170,108430,260,5,0
205,10165,963,71170,71440,270,6,0
206,10165,963,72140,73050,910,2,770
207,10165,966,121740,125030,3290,1,1970
208,10165,983,103720,104200,480,1,0
209,10165,983,175750,176800,1050,2,600
210,10165,983,189930,190880,950,2,930
211,10165,985,98030,98590,560,1,0
212,10165,985,100790,100850,60,1,0
213,10165,1047,111750,112090,340,1,0
214,10165,1145,95280,95970,690,2,130
215,10165,1145,96790,96910,120,2,0
216,10165,1239,114340,114770,430,1,430
217,10165,1239,115360,115450,90,1,90
218,10165,1239,116080,116810,730,1,730
219,10165,1239,118720,129490,10770,2,10020
