Device,Trip,Time,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Range,RangeRate,Speed,TurnSignal,YawRate
501,86,26230,0.3937,231.676,0,0,0.4903104,-0.3681176,0,0,0,0,2502.786,240.0661,42.297606738859,-83.7053909379268,0,0,0,7.447976,1,5.043547
501,86,26240,0.3937,231.676,0,0,-0.3757254,-0.3194346,0,0,0,0,2503.521,239.7118,42.2976032388469,-83.7053985879559,0,0,0,7.118113,1,9.933967
501,86,26250,0.3937,231.715,0,0,-0.6241034,-0.4367203,0,0,0,0,2504.242,239.3078,42.2975997554264,-83.7054060886823,0,0,0,7.257002,1,12.61944
501,86,26260,0.3937,231.715,0,0,-0.4684824,0.08565625,0,0,0,0,2504.963,238.8036,42.2975963054074,-83.705413288708,0,0,0,7.100751,1,13.37355
501,86,26270,0.3937,231.791,0,0,-0.4004106,-0.4286477,0,0,0,0,2505.667,238.1252,42.2975927890405,-83.7054203726308,0,0,0,6.961861,1,14.4706
501,86,26280,1.5748,231.791,0,0,-0.8201878,-0.6864496,0,0,0,0,2506.357,237.0957,42.2975891390273,-83.7054272226539,0,0,0,6.822971,1,13.05681
501,86,26290,2.3622,231.857,0,0,-0.552541,-0.5980076,0,0,0,0,2507.039,236.0527,42.2975854724223,-83.7054339731394,0,0,0,6.80561,1,10.00807
501,86,26300,2.3622,231.857,0,0,-0.3789406,-0.7122129,0,0,0,0,2507.713,234.9827,42.2975817724086,-83.7054405231747,0,0,0,6.753526,1,7.307043
501,86,26310,2.3622,231.92,0,0,-0.3880424,-0.3654632,0,0,0,0,2508.398,233.9749,42.2975779894472,-83.7054470566084,0,0,0,6.840333,1,6.088118
501,86,26320,2.3622,231.92,0,0,0.4898387,-0.4869362,0,0,0,0,2509.078,233.0924,42.2975740394317,-83.7054535566288,0,0,0,6.80561,1,6.370318
501,86,26330,1.9685,232.007,0,0,0.005456252,-0.375322,0,0,0,0,2509.759,232.2638,42.2975700562325,-83.7054600234882,0,0,0,6.788249,1,6.562238
501,86,26340,1.5748,232.007,0,0,0.2220671,-0.2815133,0,0,0,0,2510.436,231.544,42.2975660062162,-83.7054664235079,0,0,0,6.770887,1,7.238528
501,86,26350,1.5748,232.058,0,0,-0.1384051,-0.2495512,0,0,0,0,2511.112,230.823,42.2975619396069,-83.7054727737643,0,0,0,6.753526,1,7.409397
501,86,26360,1.5748,232.058,0,0,0.2163518,-0.2399951,0,0,0,0,2511.783,230.0995,42.2975578395975,-83.7054790237828,0,0,0,6.684081,1,8.516679
501,86,26370,1.5748,232.141,0,0,0.2459837,-0.1566521,0,0,0,0,2512.453,229.4339,42.2975537063995,-83.7054851908621,0,0,0,6.684081,1,8.969537
501,86,26380,1.5748,232.141,0,0,0.206992,-0.5387881,0,0,0,0,2513.122,228.885,42.297549506382,-83.7054911908859,0,0,0,6.718804,1,7.614149
501,86,26390,1.5748,232.205,0,0,-0.0661493,-0.5736887,0,0,0,0,2513.79,228.3001,42.2975452731847,-83.7054971411382,0,0,0,6.66672,1,6.731718
501,86,26400,1.5748,232.205,0,0,-0.01846951,-0.2143187,0,0,0,0,2514.457,227.6426,42.2975409731665,-83.7055029911609,0,0,0,6.66672,1,6.786924
501,86,26410,2.3622,232.284,0,0,0.2112983,-0.2320504,0,0,0,0,2515.123,226.9703,42.29753663997,-83.7055088079962,0,0,0,6.649359,1,6.492596
501,86,26420,2.3622,232.284,0,0,0.1865229,-0.1625709,0,0,0,0,2515.79,226.268,42.297532239951,-83.7055145580182,0,0,0,6.66672,1,4.791874
501,86,26430,2.7559,232.399,0,0,0.439193,-0.1024975,0,0,0,0,2516.457,225.6096,42.2975278067552,-83.7055202748615,0,0,0,6.701442,1,3.581632
501,86,26440,2.3622,232.399,0,0,0.6352062,-0.1233968,0,0,0,0,2517.126,225.0394,42.2975233067355,-83.7055259248827,0,0,0,6.701442,1,3.250947
501,86,26450,2.3622,232.518,0,0,0.4480719,-0.8488627,0,0,0,0,2517.798,224.5682,42.2975188067116,-83.7055315749124,0,0,0,6.718804,1,3.047333
501,86,26460,2.3622,232.518,0,0,0.2661947,-0.1174754,0,0,0,0,2518.469,224.2965,42.2975143066991,-83.7055372249336,0,0,0,6.753526,1,2.869703
501,86,26470,2.3622,232.624,0,0,0.2196932,-0.3468913,0,0,0,0,2519.142,224.0159,42.2975097734895,-83.7055428417631,0,0,0,6.753526,1,4.097793
501,86,26480,2.3622,232.624,0,0,0.3058977,-0.231806,0,0,0,0,2519.818,223.7176,42.2975051734763,-83.7055483917836,0,0,0,6.753526,1,5.805422
501,86,26490,1.9685,232.682,0,0,0.3860126,-0.02918885,0,0,0,0,2520.494,223.3585,42.297500556864,-83.7055539252249,0,0,0,6.718804,1,5.834704
501,86,26500,1.9685,232.682,0,0,-0.01099647,-0.2861982,0,0,0,0,2521.167,222.8769,42.2974959068431,-83.7055594252449,0,0,0,6.718804,1,4.975961
501,86,26510,1.9685,232.769,0,0,0.07942897,-0.5447862,0,0,0,0,2521.839,222.4092,42.2974912402311,-83.7055648754792,0,0,0,6.736165,1,3.931051
501,86,26520,1.9685,232.769,0,0,0.1714387,-0.2825394,0,0,0,0,2522.507,221.9696,42.2974865402172,-83.7055702254981,0,0,0,6.66672,1,3.509336
501,86,26530,2.3622,232.828,0,0,0.1904929,-0.4682257,0,0,0,0,2523.173,221.8596,42.2974818733804,-83.7055756419014,0,0,0,6.631998,1,3.335484
501,86,26540,2.7559,232.828,0,0,0.1046236,-0.4135617,0,0,0,0,2523.841,222.4131,42.2974772733599,-83.7055811919218,0,0,0,6.718804,1,4.044946
