Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Speed,TurnSignal,YawRate
10122,682,26690,1,12,50.1625,0.7527924,9.65,3,0,0,0,243.043,0,0,0.42625,0.31125,2,2,0,1,1847.421,272.429,42.301154848716,-83.7048419580569,1,8.044705,0,-0.31
10122,682,26700,1,12,50.15625,0.9285736,9.708333,3,0,0,0,242.937,0,0,-1.57125,0.07875,2,2,0,1,1848.23,272.357,42.3011550743582,-83.7048517580696,1,8.105469,0,-0.535
10122,682,26710,1,12,50.34821,1.681076,9.794642,3,0,0,0,242.937,0,0,0.95375,0.72125,2,2,0,1,1849.039,271.8256,42.3011552243585,-83.704861558086,1,8.079428,0,-0.335
10122,682,26720,1,12,50.52344,2.019844,9.859375,3,0,0,0,242.891,0,0,0.01375,1.53625,2,2,0,1,1849.847,271.7194,42.3011554487174,-83.7048713828951,1,8.079428,0,-1.38
10122,682,26730,1,12,50.81944,1.932915,9.951389,3,0,0,0,242.891,0,0,-0.45375,-0.23,2,2,0,1,1850.659,272.046,42.3011557487179,-83.7048812329119,1,8.140191,0,-1.965
10122,682,26740,1,12,50.93056,1.869793,10.0625,3,0,0,0,242.819,0,0,0.05,-0.48875,2,2,0,1,1851.483,272.048,42.3011559743591,-83.7048911325026,1,8.261719,0,-1.125
10122,682,26750,1,12,51.11111,1.715279,10.18056,3,0,0,0,242.819,0,0,-0.655,-1.0225,2,2,0,1,1852.31,271.7199,42.3011561243594,-83.7049010825202,1,8.2704,0,-1.155
10122,682,26760,1,12,51.3125,1.43055,10.28472,3,0,0,0,242.684,0,0,0.69375,-0.33625,2,2,0,1,1853.135,271.4645,42.3011562743596,-83.7049110077353,1,8.235678,0,-1.155
10122,682,26770,1,12,51.48611,0.5902748,10.36806,3,0,0,0,242.684,0,0,-0.20875,0.205,2,2,0,1,1853.95,271.283,42.3011564243601,-83.704920907767,1,8.12283,0,-1.59
10122,682,26780,1,12,51.45833,-0.875,10.40972,3,0,0,0,242.644,0,0,-0.38375,0.5325,2,2,0,1,1854.764,271.1536,42.3011565247867,-83.7049308821392,1,8.148872,0,-1.99
