Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Speed,TurnSignal,YawRate
10150,5677,14440,1,44,17.525,-1.961867,3,3,0,0,0,234.898,0,0,1.1125,1.16,2,2,0,1,1069.727,354.1873,42.2971695699995,-83.7080527574871,1,9.446615,0,6.02
10150,5677,14450,1,44,17.0625,-4.455357,3.135417,3,0,0,0,234.852,0,0,0.98125,1.60875,2,2,0,1,1070.668,354.8258,42.2971778285063,-83.7080535973657,1,9.322917,0,6.25
10150,5677,14460,1,44,16.63393,-3.934547,3.25,3,0,0,0,234.852,0,0,0.76,-0.0375,2,2,0,1,1071.6,355.5344,42.2971859785247,-83.708054247367,1,9.283854,0,6.065
10150,5677,14470,1,44,16.28906,-3.892609,3.367188,3,0,0,0,234.889,0,0,1.385,0.21375,2,2,0,1,1072.531,356.2525,42.2971941513964,-83.7080547372464,1,9.392362,0,5.865
10150,5677,14480,1,44,15.94444,-3.899553,3.472222,3,0,0,0,234.889,0,0,1.2175,1.38375,2,2,0,1,1073.465,356.982,42.2972023514152,-83.7080550372469,1,9.197049,0,5.18
10150,5677,14490,1,44,15.46094,-4.111856,3.59375,3,0,0,0,234.879,0,0,-0.02,0.89625,2,2,0,1,1074.384,357.6238,42.2972105514255,-83.7080552914979,1,9.173178,0,6.105
10150,5677,14500,1,44,15.09821,-4.068577,3.714286,3,0,0,0,234.879,0,0,1.45125,1.36375,2,2,0,1,1075.3,358.1617,42.2972187514443,-83.7080554914985,1,9.151476,0,5.69
10150,5677,14510,1,44,14.65625,-3.928571,3.833333,3,0,0,2.745099,234.924,0,0,1.33,1.43,2,2,0,1,1076.216,358.774,42.2972269514546,-83.7080556,1,9.173178,0,4.65
10150,5677,14520,1,44,14.3125,-1.929874,3.9375,3,0,0,2.745099,234.924,0,0,0.73625,1.15,2,2,0,1,1077.129,359.4745,42.2972351514589,-83.7080556,1,8.990886,0,4.135
10150,5773,20030,1,24,22.575,-1.760168,-4.3875,3,0,0,0,234.885,0,0,0.2925,0.34625,2,2,0,1,1382.419,0.38195,42.2973093,-83.708066,1,8.439671,0,3.555
10150,5773,20040,1,24,21.94792,-5.241079,-4.260417,3,0,0,0,234.885,0,0,0.9525,1.21,2,2,0,1,1383.262,0.38195,42.2973093,-83.708066,1,8.420139,0,3.855
10150,5773,20050,1,24,21.52678,-3.563196,-4.178571,3,0,0,0,234.947,0,0,0.195,1.32,2,2,0,1,1384.104,0.98117,42.2973249,-83.708066,1,8.417969,0,3.435
10150,5773,20060,1,24,21.3125,-4.172617,-4.148438,3,0,0,0,234.947,0,0,-0.32375,1.14,2,2,0,1,1384.946,0.98117,42.2973249,-83.708066,1,8.42665,0,3.415
10150,5773,20070,1,24,21.11111,-5.477182,-4.118055,3,0,0,0,234.965,0,0,1.43125,0.3675,2,2,0,1,1385.794,2.2096,42.2973403,-83.7080652,1,8.480904,0,2.765
10150,5773,20080,1,24,20.06944,-6.4375,-3.930556,3,0,0,0,234.965,0,0,0.0875,0.8425,2,2,0,1,1386.638,2.2096,42.2973403,-83.7080652,1,8.43316,0,2.26
10150,5773,20090,1,24,19.40972,-5.902779,-3.826389,3,0,0,0,234.967,0,0,1.2625,0.25625,2,2,0,1,1387.478,2.88857,42.2973553,-83.7080641,1,8.398438,0,2.66
10150,5773,20100,1,24,18.94444,-3.923611,-3.777778,3,0,0,0,234.967,0,0,0.75375,0.7075,2,2,0,1,1388.308,2.88857,42.2973553,-83.7080641,1,8.292101,0,2.47
10150,5773,20110,1,24,18.72222,-3.354166,-3.777778,3,0,0,0,234.887,0,0,0.195,1.02125,2,2,0,1,1389.155,3.68892,42.2973703,-83.7080628,1,8.487413,0,2.26
10150,5773,20120,1,24,18.45139,-4.048613,-3.777778,3,0,0,0,234.887,0,0,-0.16375,1.42125,2,2,0,1,1389.995,3.68892,42.2973703,-83.7080628,1,8.396268,0,2.105
10150,5773,20130,1,24,17.97917,-5.673609,-3.75,3,0,0,0,234.833,0,0,-0.085,1.15,2,2,0,1,1390.839,4.00797,42.2973854,-83.7080613,1,8.43099,0,1.67
10150,5773,20140,1,24,17.29167,-7.277777,-3.6875,3,0,0,0,234.833,0,0,1.2625,0.66,2,2,0,1,1391.682,4.00797,42.2973854,-83.7080613,1,8.43099,0,1.86
10150,5773,20150,1,24,16.46528,-8.499998,-3.611111,3,0,0,0,234.77,0,0,0.455,0.70375,2,2,0,1,1392.522,4.29843,42.2974001,-83.7080595,1,8.398438,0,1.59
10150,5773,20160,1,24,15.56944,-9.111112,-3.527778,3,0,0,0,234.77,0,0,-0.9625,0.72125,2,2,0,1,1393.365,4.29843,42.2974001,-83.7080595,1,8.43316,0,1.63
10150,5773,20170,1,24,14.59028,-9.22917,-3.430556,3,0,0,0,234.662,0,0,0.925,1.22,2,2,0,1,1394.209,4.82927,42.297415,-83.7080578,1,8.4375,0,1.72
10150,5773,20180,1,24,13.67361,-8.336806,-3.354167,3,0,0,0,234.662,0,0,0.55125,1.03,2,2,0,1,1395.05,4.82927,42.297415,-83.7080578,1,8.409288,0,0.925
10150,5773,20190,1,24,12.79861,-6.950148,-3.298611,3,0,0,0,234.629,0,0,-0.15375,1.35875,2,2,0,1,1395.889,5.37838,42.2974301,-83.7080562,1,8.391928,0,0.74
10150,5773,20200,1,24,12.29688,-5.65476,-3.25,3,0,0,0,234.629,0,0,-0.4125,1.0475,2,2,0,1,1396.722,5.37838,42.2974301,-83.7080562,1,8.381077,0,1.355
10150,5773,20210,1,24,11.80357,-4.450346,-3.205357,3,0,0,0,234.659,0,0,0.385,1.15125,2,2,0,1,1397.56,5.65196,42.2974452,-83.7080545,1,8.350695,0,0.875
10150,5773,20220,1,24,11.34375,-3.767858,-3.177083,3,0,0,0,234.659,0,0,0.43625,1.3425,2,2,0,1,1398.395,5.65196,42.2974452,-83.7080545,1,8.311632,0,0.92
