Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Speed,TurnSignal,YawRate
10122,922,39860,1,29,26.93056,-10.78472,5.111111,3,0,0,0,233.696,0,0,-0.325,0.56125,2,2,0,1,2611.091,242.3361,42.297606552593,-83.7053673229926,1,8.506945,0,-8.47
10122,922,39870,1,29,25.84722,-10.875,4.576389,3,0,0,0,233.696,0,0,-0.53125,0.4225,2,2,0,1,2611.938,241.9412,42.2976030025805,-83.7053763230175,1,8.472222,0,-8.809999
10122,922,39880,1,29,24.75,-10.82639,4.069445,3,0,0,0,233.739,0,0,-1.295,0.13125,2,2,0,1,2612.783,241.2216,42.2975993218149,-83.7053851922728,1,8.4375,0,-8.58
10122,922,39890,1,29,23.70139,-10.75694,3.590278,3,0,0,0,233.739,0,0,-1.15,0.21875,2,2,0,1,2613.626,240.0818,42.2975954718074,-83.7053938922953,1,8.411459,0,-8.845
10122,922,39900,1,29,22.59028,-10.69445,3.118056,3,0,0,0,233.76,0,0,-1.22375,-0.08,2,2,0,1,2614.466,239.034,42.2975915346126,-83.7054025051213,1,8.402779,0,-8.995
10122,922,39910,1,29,21.54861,-10.83333,2.694444,3,0,0,0,233.76,0,0,-1.16875,0.1525,2,2,0,1,2615.305,238.1052,42.2975874846108,-83.7054110051279,1,8.391928,0,-8.73
10122,922,39920,1,29,20.47917,-10.90278,2.256944,3,0,0,0,233.801,0,0,-1.13875,0.1475,2,2,0,1,2616.141,237.0999,42.2975833692163,-83.7054193961857,1,8.357205,0,-8.445
10122,922,39930,1,29,19.34028,-10.58333,1.805556,3,0,0,0,233.801,0,0,-1.4025,0.02375,2,2,0,1,2616.976,235.9957,42.2975791692061,-83.7054276462049,1,8.348525,0,-8.42
10122,922,39940,1,29,18.24306,-9.743053,1.381944,3,0,0,0,233.835,0,0,-0.85,-0.12375,2,2,0,1,2617.808,235.1852,42.2975749256042,-83.7054358308331,1,8.322483,0,-8.595
10122,922,39950,1,29,17.375,-8.708334,1.027778,3,0,0,0,233.835,0,0,-0.84875,-0.0925,2,2,0,1,2618.641,234.755,42.2975706256005,-83.7054439308365,1,8.313803,0,-8.675
10122,922,39960,1,29,16.59028,-7.909721,0.6944444,3,0,0,0,233.893,0,0,-1.21875,0.08125,2,2,0,1,2619.473,234.0852,42.2975662602006,-83.7054519436816,1,8.313803,0,-8.565
10122,922,39970,1,29,15.8125,-7.6875,0.3819444,3,0,0,0,233.893,0,0,-1.335,-0.02375,2,2,0,1,2620.306,233.1053,42.2975618101885,-83.7054598437127,1,8.322483,0,-8.595
