Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Speed,TurnSignal,YawRate
10139,5015,4200,1,4,34.025,2.274863,-6.0875,3,0,0,0,237.084,0,0,-0.42625,0.7,2,2,1,1,314.0603,96.92016,42.299505084563,-83.704586642281,1,0,1,-0.5
10139,5015,4210,1,4,34.05208,3.535709,-6.145833,3,0,0,0,237.084,0,0,-0.275,0.8375,2,2,1,1,314.0603,96.92016,42.2995043986567,-83.7045862993279,1,0,1,-0.415
10139,5015,4220,1,4,34.73214,3.924824,-6.330357,3,0,0,0,237.107,0,0,-0.2,0.47625,2,2,1,1,314.0603,96.92016,42.299503698655,-83.704585949327,1,0,1,-0.62
10139,5015,4230,1,4,35.17969,4.156746,-6.476563,3,0,0,0,237.107,0,0,-0.29125,0.535,2,2,1,1,314.0603,96.92016,42.2995028268422,-83.7045856422801,1,0,1,-0.555
10139,5015,4240,1,4,35.42361,3.390747,-6.576389,3,0,0,0,237.166,0,0,-0.24375,0.71125,2,2,1,1,314.0603,96.92016,42.2995019268426,-83.7045853422801,1,0,1,-0.425
10139,5015,4250,1,4,35.78472,3.30035,-6.763889,3,0,0,0,237.166,0,0,-0.24625,0.63,2,2,1,1,314.0603,96.92016,42.2995009838886,-83.7045850422806,1,0,1,-0.555
10139,5015,4260,1,4,36.125,3.513889,-6.951389,3,0,0,0,237.224,0,0,-0.33625,0.5,2,2,1,1,314.0603,96.92016,42.2995000338886,-83.7045847422806,1,0,1,-0.595
10139,5015,4270,1,4,36.47917,3.513889,-7.138889,3,0,0,0,237.224,0,0,-0.26125,0.7175,2,2,1,1,314.0603,96.92016,42.2994991268422,-83.7045844852337,1,0,1,-0.435
10139,5015,4280,1,4,36.83333,3.458332,-7.326389,3,0,0,0,237.22,0,0,-0.23625,0.6675,2,2,1,1,314.0603,96.92016,42.2994982268426,-83.7045842352337,1,0,1,-0.615
10139,5015,4290,1,4,37.1875,2.305553,-7.513889,3,0,0,0,237.22,0,0,-0.2825,0.5975,2,2,1,1,314.0603,96.92016,42.299497369794,-83.7045839422801,1,0,1,-0.56
10139,5015,4300,1,4,37.5,0.5833321,-7.708333,3,0,0,0,237.202,0,0,-0.27875,0.645,2,2,1,1,314.0603,96.92016,42.2994965197948,-83.7045836422801,1,0,1,-0.515
10139,5015,4310,1,4,37.29861,-0.9166718,-7.805555,3,0,0,0,237.202,0,0,-0.2525,0.5825,2,2,1,1,314.0603,96.92016,42.2994957127476,-83.7045833852337,1,0,1,-0.52
