Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Speed,TurnSignal,YawRate
10120,285,127100,1,57,51.775,1.383556,0.3875,3,0,0,0,235.639,0,0,-0.10625,-1.15,2,2,0,1,18887.53,116.1508,42.3011866,-83.7079161,1,7.315538,0,5.955
10120,285,127110,1,57,52.25,3.714275,0.2083333,3,0,0,0,235.651,0,0,0.015,-1.22375,2,2,0,1,18888.25,114.3364,42.3011815,-83.7079002,1,7.280817,0,5.795
10120,285,127120,1,57,52.51786,2.712151,0.02678571,3,0,0,0,235.651,0,0,0.19,-1.21875,2,2,0,1,18888.97,114.3364,42.3011815,-83.7079002,1,7.298177,0,5.87
10120,285,127130,1,57,52.73438,3.815475,-0.2421875,3,0,0,0,235.665,0,0,0.14875,-0.64125,2,2,0,1,18889.7,113.2537,42.3011765,-83.7078838,1,7.348091,0,6.18
10120,285,127140,1,57,52.88889,4.896576,-0.4930556,3,0,0,0,235.665,0,0,0.24125,-0.84375,2,2,0,1,18890.44,113.2537,42.3011765,-83.7078838,1,7.374132,0,5.92
10120,285,127150,1,57,53.97222,4.253468,-0.9305556,3,0,0,0,235.659,0,0,-0.05625,-0.81125,2,2,0,1,18891.18,111.8252,42.3011717,-83.7078674,1,7.400174,0,5.995
10120,285,127160,1,57,54.34722,2.256943,-1.388889,3,0,0,0,235.659,0,0,-0.0775,-1.40375,2,2,0,1,18891.93,111.8252,42.3011717,-83.7078674,1,7.391493,0,5.84
10120,285,127170,1,57,54.13194,-1.006943,-1.826389,3,0,0,0,235.675,0,0,0.16625,-0.8,2,2,0,1,18892.67,110.3305,42.3011672,-83.7078506,1,7.415365,0,5.78
10120,285,127180,1,57,53.9375,-2.249996,-2.270833,3,0,0,0,235.675,0,0,0.03625,-1.01375,2,2,0,1,18893.41,110.3305,42.3011672,-83.7078506,1,7.400174,0,5.8
10120,285,127190,1,57,53.67361,-2.152775,-2.798611,3,0,0,0,235.673,0,0,0.35375,-0.7475,2,2,0,1,18894.15,109.5237,42.3011629,-83.7078337,1,7.415365,0,5.54
10120,285,127200,1,57,53.45139,-2.722221,-3.326389,3,0,0,0,235.673,0,0,0.1725,-1.17875,2,2,0,1,18894.89,109.5237,42.3011629,-83.7078337,1,7.424046,0,5.3
10120,285,127210,1,57,53.29861,-3.618057,-3.847222,3,0,0,0,235.641,0,0,0.015,-0.78375,2,2,0,1,18895.64,108.3595,42.3011588,-83.7078168,1,7.432726,0,5.66
10120,285,127220,1,57,52.76389,-3.930557,-4.256945,3,0,0,0,235.641,0,0,0.1275,-1.16625,2,2,0,1,18896.38,108.3595,42.3011588,-83.7078168,1,7.441407,0,5.425
10120,285,127230,1,57,52.20833,-3.633434,-4.659722,3,0,0,0,235.634,0,0,0.0825,-0.5225,2,2,0,1,18897.12,107.3727,42.3011549,-83.7077997,1,7.458768,0,5.375
10120,285,127240,1,57,52.03125,-2.742062,-4.882813,3,0,0,0,235.634,0,0,0.2375,-1.22125,2,2,0,1,18897.86,107.3727,42.3011549,-83.7077997,1,7.465278,0,5.475
