Event,Device,Trip,Starttime,Endtime,Duration
1,90,15,900,900,0
2,502,661,38290,38850,560
3,552,340,101270,102020,750
4,552,360,92670,93550,880
5,552,374,165490,166430,940
6,552,380,172890,173960,1070
7,552,382,182960,183990,1030
8,10122,922,43380,43940,560
9,10125,715,2590,2600,10
10,10125,715,4360,4550,190
11,10129,4643,11180,11490,310
12,10132,5602,28160,28370,210
13,10138,168,3300,3850,550
14,10138,1677,183870,184100,230
15,10138,3160,220,220,0
16,10139,5015,3300,5570,2270
17,10139,5019,15960,16900,940
18,10139,5021,2400,3860,1460
19,10140,958,3320,3350,30
20,10140,1288,6540,6670,130
21,10140,1544,210,1820,1610
22,10146,659,7910,8300,390
23,10146,748,6350,8660,2310
24,10150,3659,210,390,180
25,10150,5473,7090,8220,1130
26,10155,1455,3090,3340,250
27,10155,1832,1630,1660,30
28,10160,710,112690,113510,820
29,10160,710,129550,131430,1880
30,10160,2501,115180,120120,4940
31,10160,3275,1140,1140,0
32,10160,3399,860,950,90
33,10164,300,65050,65640,590
34,10164,2174,1730,2040,310
35,10176,1321,67660,67660,0
36,10176,2047,15200,15200,0
37,10176,3846,14630,14830,200
38,10190,535,10140,10160,20
39,10190,1619,9150,9230,80
40,10190,1881,11630,11660,30
41,10204,236,200,3360,3160
42,10204,246,3060,3060,0
43,10204,324,2890,2890,0
44,10204,1301,11770,11780,10
45,10204,1525,266560,267490,930
46,10204,1530,34910,35380,470
47,10204,3292,402600,402770,170
48,10205,214,293730,294270,540
49,10205,398,3260,3260,0
50,10205,682,4260,4360,100
51,10205,773,210,2740,2530
52,10205,1011,360,380,20
53,10205,2129,6800,7160,360
54,10207,558,6940,7360,420
55,10207,559,1660,2180,520
56,10502,2221,980,980,0
57,10502,2861,560,610,50
58,10502,2919,470,470,0
59,10502,3176,490,1350,860
60,10571,3116,115700,116370,670
61,10573,566,2900,2900,0
62,10574,3302,500,500,0
63,10580,2906,6000,6200,200
64,10582,1816,3990,4010,20
65,10584,150,5220,5300,80
66,10584,626,2800,2950,150
67,10584,934,3860,3990,130
68,10586,340,5230,5280,50
69,10593,594,20450,20800,350
70,10593,743,27310,27320,10
71,10593,756,23000,23370,370
72,10593,818,10820,10820,0
73,10597,1135,29140,29140,0
74,10607,388,208410,208430,20
75,10607,873,266510,267320,810
76,10607,935,452670,453540,870
77,10607,944,470130,473690,3560
78,10607,950,179110,179840,730
79,10612,1484,4100,4460,360
80,10612,2031,6010,6010,0
81,10612,3655,6190,6260,70
82,10612,3916,6180,6490,310
83,10612,5338,1180,2750,1570
84,10612,5374,1180,4230,3050
85,10612,5455,970,4130,3160
86,10612,5834,1110,1110,0
87,10612,5860,1650,2760,1110
88,10616,321,210,370,160
89,10616,2308,21570,23090,1520
90,10616,2308,126080,126940,860
91,10618,448,64380,64900,520
92,10618,458,103310,103760,450
93,10618,493,137240,137630,390
94,10618,511,110720,111090,370
95,10618,512,31200,32150,950
96,10618,754,41840,42890,1050
97,10618,907,75890,76600,710
98,10618,1025,146240,147830,1590
99,10618,1357,168290,169020,730
100,10618,1380,77500,77950,450
101,10618,1471,119860,120580,720
102,10620,6454,3220,3220,0
103,13101,1066,1130,4810,3680
104,13101,1068,34260,35040,780
105,13101,1069,1070,2340,1270
106,13101,1160,11560,12360,800
107,13101,1161,520,1780,1260
108,13101,1335,7530,8310,780
109,13101,1336,200,560,360
110,13101,1601,636530,637350,820
111,13101,1602,1440,2350,910
112,13101,2384,12380,13120,740
113,13101,3166,10420,11050,630
114,13101,7718,26700,27330,630
115,13101,7720,200,670,470
116,13101,13765,30330,31140,810
117,13101,13851,21310,21970,660
118,13101,13852,3740,5330,1590
119,13101,13906,100300,101010,710
120,13101,13907,3470,4130,660
121,13101,13907,6250,6360,110
122,13101,13974,230390,231010,620
123,13101,14081,220480,221140,660
124,13101,14192,225100,225880,780
125,13101,14193,6780,10100,3320
126,13103,9591,190,990,800
127,13103,10601,2900,3900,1000
