Event,Device,Trip,Starttime,Endtime,Duration
1,92,29,490,540,50
2,92,43,14240,14990,750
3,501,8,83640,85210,1570
4,501,39,202780,203380,600
5,501,43,15630,16140,510
6,501,56,115540,116120,580
7,502,11,165290,167920,2630
8,502,24,111190,111670,480
9,502,29,119050,119520,470
10,502,46,105890,106380,490
11,502,52,114290,114890,600
12,502,58,109930,110340,410
13,502,73,93330,94020,690
14,502,80,107700,108430,730
15,502,112,93420,94050,630
16,502,123,96510,96940,430
17,502,130,120650,121180,530
18,502,137,118980,119490,510
19,502,142,97110,97600,490
20,502,154,100490,101040,550
21,502,159,129010,129490,480
22,502,179,98610,99040,430
23,502,184,20740,22030,1290
24,502,243,103730,104230,500
25,502,248,87330,88080,750
26,502,261,82030,82630,600
27,502,279,63470,66840,3370
28,502,285,100550,101000,450
29,502,293,111910,112330,420
30,502,299,110060,111090,1030
31,502,322,173020,173960,940
32,502,328,105100,106460,1360
33,502,332,112380,112840,460
34,502,661,39910,41300,1390
35,502,1004,210,240,30
36,551,69,94060,94650,590
37,551,561,27710,28400,690
38,551,579,23610,25570,1960
39,551,585,92300,92830,530
40,552,334,9980,10660,680
41,552,339,30220,31130,910
42,552,340,98540,99630,1090
43,552,348,89340,89940,600
44,552,353,15230,15900,670
45,552,356,12700,13570,870
46,552,360,90180,91150,970
47,552,362,111640,112290,650
48,552,369,145560,146240,680
49,552,374,139670,140560,890
50,552,374,168110,169530,1420
51,552,380,150490,151270,780
52,552,380,175570,176870,1300
53,552,382,162110,162840,730
54,552,382,185660,186970,1310
55,552,384,18580,19240,660
56,3268,43,477520,478190,670
57,3268,79,74680,75580,900
58,10107,76,248920,249440,520
59,10107,77,2610,2610,0
60,10121,4,1940,5210,3270
61,10122,312,145380,149250,3870
62,10122,339,478770,479380,610
63,10122,415,142070,142700,630
64,10122,459,149360,151530,2170
65,10122,668,5760,6370,610
66,10122,675,27890,28560,670
67,10122,679,24530,25090,560
68,10122,682,26340,26980,640
69,10122,723,181120,181750,630
70,10122,742,8260,9110,850
71,10122,744,9590,10140,550
72,10122,901,51090,51710,620
73,10122,920,3290,3670,380
74,10122,922,44980,46080,1100
75,10122,983,190160,190770,610
76,10122,995,153340,153920,580
77,10122,999,40880,41510,630
78,10122,1046,5590,6220,630
79,10122,1062,41060,41650,590
80,10122,1065,14710,15300,590
81,10122,1086,4940,6380,1440
82,10122,1088,10930,11570,640
83,10122,1123,75730,76350,620
84,10122,1126,47550,48150,600
85,10122,1296,5170,6050,880
86,10122,1297,50940,51650,710
87,10122,1373,130630,131440,810
88,10122,1379,505060,506240,1180
89,10122,1397,32150,32780,630
90,10125,4,2220,2220,0
91,10129,4643,10380,10590,210
92,10130,1243,17240,17970,730
93,10133,97,9390,10100,710
94,10138,13,1900,2030,130
95,10138,3110,2050,2610,560
96,10138,3333,5400,5400,0
97,10139,5015,1330,2060,730
98,10139,5019,14090,14840,750
99,10140,1025,5570,6170,600
100,10140,1026,1450,2260,810
101,10141,13,161520,162130,610
102,10141,554,9320,9750,430
103,10141,555,610,1200,590
104,10141,601,61160,61770,610
105,10141,602,340,500,160
106,10141,748,183400,184050,650
107,10150,168,23720,24200,480
108,10150,292,81940,82450,510
109,10150,366,80260,80780,520
110,10150,366,89570,90360,790
111,10150,509,13810,14260,450
112,10150,518,110100,110660,560
113,10150,520,5430,5970,540
114,10150,542,11270,11860,590
115,10150,962,12520,13110,590
116,10150,966,61160,62170,1010
117,10150,1554,17660,18220,560
118,10150,1555,2430,2720,290
119,10150,1952,24900,25560,660
120,10150,2400,16010,16540,530
121,10150,2425,40080,40610,530
122,10150,2472,33790,34350,560
123,10150,2593,14780,15370,590
124,10150,2854,25030,25530,500
125,10150,3087,118810,119490,680
126,10150,3088,670,890,220
127,10150,3145,8830,9510,680
128,10150,3506,31210,31800,590
129,10150,3557,22150,22720,570
130,10150,3850,3530,4020,490
131,10150,3851,1250,1930,680
132,10150,4040,500,1140,640
133,10150,4067,53920,54720,800
134,10150,4216,28690,29190,500
135,10150,4602,3730,4020,290
136,10150,5083,5330,5970,640
137,10150,5187,2440,2560,120
138,10150,5290,30040,30630,590
139,10150,5291,5760,5910,150
140,10150,5473,10420,11960,1540
141,10153,958,1690,1780,90
142,10155,633,70910,71690,780
143,10155,659,58360,61560,3200
144,10155,1051,46810,47560,750
145,10155,1148,13660,14690,1030
146,10155,1279,7200,7220,20
147,10155,1455,2780,3310,530
148,10160,710,115050,116290,1240
149,10160,710,127120,128030,910
150,10160,3122,1130,1150,20
151,10160,3699,330,960,630
152,10161,989,42710,43360,650
153,10161,2166,69090,69730,640
154,10161,2184,86500,87130,630
155,10161,2185,1450,3560,2110
156,10164,165,49160,49610,450
157,10164,186,51230,51860,630
158,10164,187,2190,2620,430
159,10164,194,51380,51800,420
160,10164,194,60290,62100,1810
161,10164,300,66590,67480,890
162,10164,357,37500,38010,510
163,10164,523,43210,43770,560
164,10164,630,32020,32510,490
165,10164,702,66860,67320,460
166,10164,736,59340,59890,550
167,10164,1227,91070,91540,470
168,10164,1624,121610,122240,630
169,10164,1887,38880,39460,580
170,10164,1963,25770,26240,470
171,10164,2174,950,980,30
172,10165,963,57730,58390,660
173,10165,963,75760,76570,810
174,10165,966,119400,120040,640
175,10165,1245,18960,20550,1590
176,10165,1351,100160,100630,470
177,10165,1382,87090,87560,470
178,10165,1411,6300,7180,880
179,10165,1429,94720,95390,670
180,10165,1433,7880,9580,1700
181,10165,1468,183620,184200,580
182,10165,1472,83090,83660,570
183,10165,1473,182380,183190,810
184,10165,1477,80510,80980,470
185,10165,1479,120610,121160,550
186,10165,1484,91330,91860,530
187,10165,1491,160010,160510,500
188,10165,1536,86500,87020,520
189,10165,1547,303040,303660,620
190,10165,1548,197310,197810,500
191,10165,1558,135310,136340,1030
192,10165,1564,145770,146630,860
193,10165,1591,4240,5200,960
194,10165,1649,4800,5500,700
195,10173,1649,11330,11520,190
196,10176,323,19210,19480,270
197,10176,604,8190,8370,180
198,10176,667,1460,1600,140
199,10176,2880,19560,19610,50
200,10176,3348,37400,37590,190
201,10176,3543,18530,18710,180
202,10176,3553,20390,20640,250
203,10176,3590,35990,36040,50
204,10176,5127,18790,18970,180
205,10176,5338,15630,15660,30
206,10204,246,200,660,460
207,10204,246,1940,1960,20
208,10204,335,65970,66730,760
209,10204,469,55220,55830,610
210,10204,586,290,300,10
211,10204,1525,268690,269840,1150
212,10204,1530,36440,37760,1320
213,10204,1530,77850,79850,2000
214,10204,1615,6020,6670,650
215,10204,1615,134060,135500,1440
216,10204,3079,23180,23770,590
217,10204,3079,33800,34390,590
218,10204,3079,44140,49430,5290
219,10204,3079,58860,59510,650
220,10204,3079,70960,71550,590
221,10204,3079,85740,86330,590
222,10204,3079,136920,137590,670
223,10204,3086,3200,3830,630
224,10204,3168,76560,77070,510
225,10204,3169,35490,36120,630
226,10204,3174,141780,142350,570
227,10204,3174,214050,214690,640
228,10204,3174,274220,274910,690
229,10204,3176,8970,9660,690
230,10204,3179,80250,80880,630
231,10204,3179,151310,152000,690
232,10204,3179,211490,212120,630
233,10204,3179,264870,265540,670
234,10204,3181,21310,21880,570
235,10204,3181,75670,76440,770
236,10204,3182,75550,76120,570
237,10204,3182,145870,146580,710
238,10204,3182,205110,205660,550
239,10204,3184,35970,36580,610
240,10204,3184,91930,92500,570
241,10204,3187,70740,71430,690
242,10204,3187,129960,130550,590
243,10204,3187,187060,187770,710
244,10204,3189,117930,118560,630
245,10204,3189,177650,178280,630
246,10204,3190,19990,20660,670
247,10204,3190,81630,82220,590
248,10204,3190,142570,143260,690
249,10204,3190,195240,195940,700
250,10204,3192,25010,25620,610
251,10204,3194,36250,36860,610
252,10204,3200,16830,17400,570
253,10204,3201,1950,2480,530
254,10204,3202,14660,15390,730
255,10204,3202,82070,82820,750
256,10204,3202,140090,140780,690
257,10204,3203,8580,9170,590
