Event,Device,Trip,Starttime,Endtime,Duration
1,501,87,28130,28940,810
2,501,87,47110,48060,950
3,501,741,17680,18600,920
4,501,744,169190,170100,910
5,501,749,163330,164900,1570
6,501,754,9810,10660,850
7,501,755,158470,159480,1010
8,501,759,16140,17450,1310
9,501,760,10380,11350,970
10,501,761,168490,169350,860
11,501,767,163160,164210,1050
12,501,768,6830,7910,1080
13,501,774,112730,113760,1030
14,501,777,148100,149150,1050
15,502,661,31510,33120,1610
16,502,661,56190,57500,1310
17,551,778,41410,42550,1140
18,552,340,107570,108960,1390
19,552,360,99380,100870,1490
20,552,374,157200,158800,1600
21,552,380,165110,166830,1720
22,552,382,176260,177720,1460
23,552,567,32380,34060,1680
24,552,816,7900,9220,1320
25,10139,6108,102060,105580,3520
26,10139,6109,1210,3730,2520
27,10141,524,1730,2300,570
28,10141,783,189280,190430,1150
29,10141,903,209360,210620,1260
30,10150,762,7840,7870,30
31,10150,2957,6910,6910,0
32,10150,4511,273550,273680,130
33,10150,5473,56420,57650,1230
34,10150,5486,11670,12730,1060
35,10150,5502,47050,48340,1290
36,10150,5509,13480,14530,1050
37,10150,5564,57670,58820,1150
38,10150,5572,15770,16880,1110
39,10150,5579,9530,10510,980
40,10150,5584,9350,10350,1000
41,10150,5588,40870,42110,1240
42,10150,5592,11510,12790,1280
43,10150,5607,47520,50060,2540
44,10150,5627,9240,10870,1630
45,10150,5630,43180,44280,1100
46,10150,5646,8600,9700,1100
47,10150,5651,8520,10850,2330
48,10150,5655,18040,19210,1170
49,10150,5663,15580,16730,1150
50,10150,5677,11990,12960,970
51,10150,5690,10380,11370,990
52,10150,5699,17520,18530,1010
53,10150,5703,14970,16200,1230
54,10150,5713,12470,12590,120
55,10150,5753,6380,6750,370
56,10150,5759,6000,6210,210
57,10150,5773,16250,17780,1530
58,10150,5794,7390,7580,190
59,10150,5798,11380,12350,970
60,10150,5802,19180,20230,1050
61,10155,226,45590,46530,940
62,10155,226,58480,59600,1120
63,10155,321,15460,16040,580
64,10155,446,21910,23870,1960
65,10155,532,2190,2600,410
66,10155,558,15680,16150,470
67,10155,777,15900,17100,1200
68,10155,777,19560,20560,1000
69,10155,780,20250,20900,650
70,10155,782,6710,7440,730
71,10155,783,22650,23380,730
72,10155,783,26560,27050,490
73,10155,783,32880,33660,780
74,10155,1231,28200,29570,1370
75,10155,1231,38650,39790,1140
76,10155,1356,670,1290,620
77,10155,1357,6580,6730,150
78,10155,1772,5130,5130,0
79,10155,1920,7660,7970,310
80,10155,2166,3720,3740,20
81,10159,11505,4740,7470,2730
82,10159,13371,15840,17290,1450
83,10161,865,27020,27970,950
84,10165,51,3100,3890,790
85,10165,175,16100,17280,1180
86,10165,1208,1210,2100,890
87,10165,1563,163500,164670,1170
88,10502,1903,6570,7770,1200
89,10502,1904,24230,25310,1080
90,10502,2014,550,550,0
91,10502,3257,63650,65040,1390
92,10502,3257,73390,74660,1270
93,10510,2079,6620,6960,340
94,10515,2386,480,670,190
95,10515,2386,1780,1800,20
96,10567,939,2860,3160,300
97,10572,62,13780,15080,1300
98,10572,110,7440,8230,790
99,10572,111,88180,89140,960
100,10572,181,3960,5670,1710
101,10572,184,5800,6730,930
102,10574,3190,3640,3890,250
103,10580,2144,45180,46570,1390
104,10580,2477,1830,2330,500
105,10587,2380,44960,46060,1100
106,10587,5465,48280,48640,360
107,10594,9875,85940,87240,1300
108,10594,9876,1910,3300,1390
109,10594,9897,1590,2130,540
110,10594,10024,49940,51100,1160
111,10594,10088,23150,24350,1200
112,10607,4610,294900,295910,1010
113,10607,4640,224160,225050,890
114,10607,4685,298670,299560,890
115,10607,4686,91830,92680,850
116,10607,5508,129630,130700,1070
117,10607,5526,240890,242490,1600
118,10607,5609,36170,37280,1110
119,10607,5610,10630,11950,1320
120,10607,5645,218370,219500,1130
121,10607,5645,271130,272380,1250
122,10607,5707,135150,136320,1170
123,10607,5710,7270,8610,1340
124,10607,5802,315990,317050,1060
125,10607,5803,3270,4430,1160
126,10607,5818,100070,100940,870
127,10607,5895,47600,48660,1060
128,10607,5915,294550,295730,1180
129,10607,5916,127030,127910,880
130,10607,5924,198670,199740,1070
131,10607,5927,104110,105100,990
132,10607,5933,192880,193950,1070
133,10607,5936,97910,98820,910
134,10607,5938,310560,311740,1180
135,10607,5942,104670,105680,1010
136,10612,4082,7440,7460,20
137,10612,4175,2960,3210,250
138,10612,4737,3140,4130,990
139,10616,977,19960,21490,1530
140,10616,2069,38660,39870,1210
141,10616,2306,16520,17530,1010
142,10618,222,204470,210210,5740
143,10618,222,221230,224400,3170
144,10618,444,8960,9880,920
145,10618,444,14630,15820,1190
146,13000,1153,84290,85980,1690
147,13107,7397,38010,39430,1420
148,13107,7497,18000,19630,1630
149,13107,7498,10640,12180,1540
150,13107,7502,102160,103370,1210
151,13107,7544,67960,69330,1370
152,13107,7625,29770,31330,1560
153,13107,7626,9590,11330,1740
154,13107,7718,31060,32490,1430
155,13107,7719,11110,12640,1530
156,13107,7764,27370,29190,1820
157,13107,7802,46930,48610,1680
158,13107,7840,32120,33550,1430
159,13107,7841,10770,12500,1730
160,13107,8007,60610,62150,1540
161,13107,8130,30750,32170,1420
162,13107,8199,33430,35200,1770
163,13107,8200,14080,15760,1680
164,13107,8306,19930,21240,1310
165,13107,8307,13260,15060,1800
166,13107,8414,18790,20030,1240
167,13107,8514,20030,21360,1330
168,13107,8515,10470,12160,1690
169,13107,8626,17750,19220,1470
170,13107,8627,14800,16700,1900
171,13107,8733,20830,22190,1360
172,13107,8734,10750,12530,1780
173,13107,8842,34280,35970,1690
174,13107,8843,11710,13510,1800
175,13107,8932,19550,21060,1510
176,13107,8933,10690,12490,1800
177,13107,9326,39770,41320,1550
178,13107,9397,65280,66660,1380
179,13107,9398,12390,13910,1520
180,13107,9577,17740,19240,1500
181,13107,9578,14350,16060,1710
182,13107,9827,41750,43080,1330
183,13107,9828,26170,27880,1710
184,13107,9903,31850,33270,1420
185,13107,9904,13900,15550,1650
186,13107,10055,51680,53110,1430
187,13107,10154,18850,20330,1480
188,13107,10413,10360,12950,2590
189,13107,10512,11540,13010,1470
190,13107,10583,21200,22670,1470
191,13107,10663,24200,25560,1360
192,13107,10664,9940,11680,1740
193,13107,10886,35970,37420,1450
194,13107,11031,22480,24230,1750
195,13107,11176,23650,25110,1460
196,13107,11177,12280,14100,1820
197,13107,11291,20690,21060,370
198,13107,11390,30650,31940,1290
199,13107,11610,76070,77500,1430
200,13107,11651,45220,46560,1340
201,13107,11715,23950,25330,1380
202,13107,11716,13400,15250,1850
203,13107,11822,81770,83200,1430
204,13107,11823,12920,15170,2250
205,13107,11926,18130,19310,1180
206,13107,11948,44530,46000,1470
207,13107,12029,39050,40510,1460
208,13107,12049,51070,52420,1350
209,13107,12067,186190,187710,1520
210,13107,12133,19790,21190,1400
211,13107,12175,16970,18340,1370
212,13107,12249,23450,24840,1390
213,13107,12266,61710,63090,1380
214,13107,12364,17850,19170,1320
215,13107,12365,15590,16990,1400
216,13107,12416,76200,77800,1600
217,13107,12502,26190,27570,1380
218,13107,13662,12440,14050,1610
219,13107,14007,50650,52020,1370
220,13107,15043,10970,12760,1790
221,13108,233,6870,8300,1430
222,13108,325,8550,10260,1710
223,13108,482,93520,94910,1390
224,13108,799,8250,9740,1490
225,13108,861,17420,19240,1820
226,13108,1051,9250,10730,1480
227,13108,1123,4450,5910,1460
228,13108,1188,10280,11910,1630
229,13108,1458,9370,10990,1620
230,13108,8095,9390,11430,2040
231,13108,8353,8130,10450,2320
232,13108,8570,50720,53860,3140
233,13108,10854,8860,10650,1790
234,13109,10226,47160,48350,1190
235,13109,10563,8540,10120,1580
236,15101,527,155460,155510,50
237,15901,2,7590,9840,2250
