Event,Device,Trip,Starttime,Endtime,Duration
1,92,43,11440,12300,860
2,501,8,80350,81830,1480
3,501,39,200610,201400,790
4,501,43,13660,14440,780
5,501,56,113430,114200,770
6,501,741,23990,25280,1290
7,501,744,162610,163720,1110
8,501,747,10550,11690,1140
9,501,749,155970,157180,1210
10,501,754,16700,17970,1270
11,501,755,151770,152840,1070
12,501,759,7740,9230,1490
13,501,760,17330,18820,1490
14,501,761,161560,162710,1150
15,501,767,155100,156450,1350
16,501,768,14190,15760,1570
17,501,774,104950,106280,1330
18,501,777,140600,141880,1280
19,502,11,162910,163780,870
20,502,24,108550,109660,1110
21,502,29,116770,117560,790
22,502,46,103390,104180,790
23,502,52,111420,112370,950
24,502,58,106810,108280,1470
25,502,73,90490,91500,1010
26,502,80,105180,106230,1050
27,502,112,90680,92010,1330
28,502,123,94510,95240,730
29,502,130,117770,119120,1350
30,502,137,116460,117330,870
31,502,142,92590,93820,1230
32,502,154,96550,98980,2430
33,502,159,126290,127040,750
34,502,179,96630,97400,770
35,502,184,18240,19130,890
36,502,243,101910,102560,650
37,502,248,85230,85920,690
38,502,261,79380,80230,850
39,502,279,61080,61880,800
40,502,285,98280,99230,950
41,502,293,109890,110660,770
42,502,299,108160,108890,730
43,502,322,169940,170850,910
44,502,328,102440,103170,730
45,502,332,110080,110810,730
46,502,661,43660,47030,3370
47,551,69,90760,92170,1410
48,551,561,24760,25920,1160
49,551,579,21370,22350,980
50,551,585,89920,90890,970
51,552,340,116850,118710,1860
52,552,354,1470,1920,450
53,552,355,200,7300,7100
54,552,356,210,10760,10550
55,552,360,109460,111230,1770
56,552,374,144530,146650,2120
57,552,375,1200,1350,150
58,552,380,154600,156380,1780
59,552,382,166010,167710,1700
60,3268,43,474380,475580,1200
61,3268,79,68980,69970,990
62,10120,285,125970,127340,1370
63,10120,397,19280,20390,1110
64,10120,398,1600,2720,1120
65,10122,5,142050,143430,1380
66,10122,13,136270,137720,1450
67,10122,16,304200,305730,1530
68,10122,16,310740,312330,1590
69,10122,30,142530,143960,1430
70,10122,35,148980,150350,1370
71,10122,38,135510,137020,1510
72,10122,41,137740,139190,1450
73,10122,52,193150,194620,1470
74,10122,54,180950,182370,1420
75,10122,57,142410,143680,1270
76,10122,57,164750,166180,1430
77,10122,58,71770,73100,1330
78,10122,59,2980,4400,1420
79,10122,61,135020,136530,1510
80,10122,66,131880,133530,1650
81,10122,70,147260,148810,1550
82,10122,71,3720,5730,2010
83,10122,74,133990,135310,1320
84,10122,76,307350,308920,1570
85,10122,90,138040,139400,1360
86,10122,102,145270,146820,1550
87,10122,105,142900,144430,1530
88,10122,110,147680,149150,1470
89,10122,116,148980,150450,1470
90,10122,118,162090,163660,1570
91,10122,120,67330,68940,1610
92,10122,155,143140,144510,1370
93,10122,160,146490,148080,1590
94,10122,161,2690,3470,780
95,10122,162,134060,135590,1530
96,10122,169,139130,140720,1590
97,10122,173,144200,145730,1530
98,10122,175,151990,153400,1410
99,10122,180,148720,150170,1450
100,10122,183,163300,164750,1450
101,10122,192,162240,163690,1450
102,10122,194,158160,159790,1630
103,10122,197,150010,151900,1890
104,10122,202,139950,141290,1340
105,10122,202,149500,150960,1460
106,10122,206,197360,198650,1290
107,10122,206,204840,206390,1550
108,10122,207,4880,6310,1430
109,10122,208,130210,131860,1650
110,10122,209,227230,228680,1450
111,10122,213,159560,161390,1830
112,10122,215,153150,154680,1530
113,10122,220,162850,164320,1470
114,10122,224,181420,182790,1370
115,10122,227,171250,173200,1950
116,10122,234,171420,173130,1710
117,10122,236,225390,226920,1530
118,10122,238,203110,204540,1430
119,10122,240,358880,360550,1670
120,10122,242,155780,157190,1410
121,10122,251,159580,160970,1390
122,10122,253,192360,193790,1430
123,10122,255,169400,170750,1350
124,10122,257,166110,167480,1370
125,10122,260,149960,151310,1350
126,10122,272,145090,146500,1410
127,10122,274,148740,150110,1370
128,10122,276,145960,147340,1380
129,10122,278,199760,201690,1930
130,10122,285,132520,134010,1490
131,10122,286,10460,11990,1530
132,10122,287,211790,213400,1610
133,10122,289,34660,36370,1710
134,10122,291,478570,480000,1430
135,10122,291,490130,491550,1420
136,10122,292,53760,55160,1400
137,10122,292,238180,240410,2230
138,10122,295,147580,148910,1330
139,10122,301,137960,139330,1370
140,10122,305,158360,159850,1490
141,10122,308,146200,147590,1390
142,10122,312,139460,140690,1230
143,10122,317,146680,147870,1190
144,10122,318,5350,6650,1300
145,10122,331,88770,90130,1360
146,10122,332,1500,2950,1450
147,10122,334,179990,181860,1870
148,10122,335,3380,4590,1210
149,10122,337,219180,220600,1420
150,10122,340,2370,3860,1490
151,10122,341,141330,142610,1280
152,10122,342,2470,3730,1260
153,10122,347,166440,167770,1330
154,10122,348,980,2260,1280
155,10122,351,151330,152720,1390
156,10122,352,3660,4980,1320
157,10122,354,171610,172960,1350
158,10122,355,320,1710,1390
159,10122,357,134280,135580,1300
160,10122,358,1710,2950,1240
161,10122,368,140560,141880,1320
162,10122,369,5050,6310,1260
163,10122,370,159240,160590,1350
164,10122,371,6840,8230,1390
165,10122,375,152830,154050,1220
166,10122,376,17440,18760,1320
167,10122,381,106700,108050,1350
168,10122,382,10620,11870,1250
169,10122,386,130430,131760,1330
170,10122,387,6930,8240,1310
171,10122,398,146930,148320,1390
172,10122,399,14770,16060,1290
173,10122,403,156450,157840,1390
174,10122,404,7060,8470,1410
175,10122,406,137170,138480,1310
176,10122,407,5430,7040,1610
177,10122,409,133580,134930,1350
178,10122,410,940,2420,1480
179,10122,413,152590,153840,1250
180,10122,414,3200,4700,1500
181,10122,416,5140,6390,1250
182,10122,425,152980,154450,1470
183,10122,426,4490,5870,1380
184,10122,427,152670,154150,1480
185,10122,428,1920,3320,1400
