Event,Device,Trip,Starttime,Endtime,Duration
1,92,35,410,410,0
2,92,43,12450,13510,1060
3,501,8,81990,82950,960
4,501,39,201500,202240,740
5,501,43,14550,15190,640
6,501,56,114320,115010,690
7,501,222,4190,4280,90
8,502,11,163900,164720,820
9,502,24,109830,110660,830
10,502,29,117670,118500,830
11,502,46,104310,105340,1030
12,502,52,112510,113670,1160
13,502,58,108470,109460,990
14,502,73,91650,92780,1130
15,502,80,106350,107210,860
16,502,112,92120,92870,750
17,502,123,95350,96060,710
18,502,130,119230,120160,930
19,502,137,117460,118450,990
20,502,142,93990,96580,2590
21,502,154,99090,100040,950
22,502,159,127170,128520,1350
23,502,179,97510,98180,670
24,502,184,19280,20170,890
25,502,243,102670,103240,570
26,502,248,86010,86760,750
27,502,261,80360,81540,1180
28,502,279,62020,62980,960
29,502,285,99340,100080,740
30,502,293,110760,111460,700
31,502,299,108990,109620,630
32,502,322,171000,172240,1240
33,502,328,103300,104540,1240
34,502,332,110920,111890,970
35,502,661,42290,43480,1190
36,551,69,92350,93520,1170
37,551,561,26060,27040,980
38,551,579,22450,23110,660
39,551,585,90990,91770,780
40,551,765,380,390,10
41,551,824,330,810,480
42,552,340,119050,121380,2330
43,552,356,10910,11910,1000
44,552,360,111520,113980,2460
45,552,374,142170,144290,2120
46,552,380,152570,154360,1790
47,552,382,164040,165800,1760
48,3268,43,475740,476810,1070
49,3268,79,70110,71100,990
50,10107,76,250200,250580,380
51,10120,285,127570,128940,1370
52,10120,397,20610,24010,3400
53,10120,398,870,1400,530
54,10122,16,305920,310550,4630
55,10122,155,144760,145450,690
56,10122,162,135800,136410,610
57,10122,202,141500,149290,7790
58,10122,206,198860,199390,530
59,10122,206,204080,204630,550
60,10122,240,360800,361450,650
61,10122,242,157450,158070,620
62,10122,251,161220,161810,590
63,10122,253,194020,194650,630
64,10122,255,171000,171570,570
65,10122,257,167730,168340,610
66,10122,260,151540,152110,570
67,10122,272,146710,147280,570
68,10122,274,150320,150930,610
69,10122,276,147570,148100,530
70,10122,278,201980,202730,750
71,10122,285,134320,134990,670
72,10122,286,9600,10230,630
73,10122,287,213670,214460,790
74,10122,287,215650,215680,30
75,10122,289,15790,22470,6680
76,10122,289,33580,34430,850
77,10122,291,480270,485500,5230
78,10122,291,489270,489940,670
79,10122,292,41540,53560,12020
80,10122,292,240600,241250,650
81,10122,295,149140,149770,630
82,10122,301,139560,140210,650
83,10122,305,160120,160830,710
84,10122,308,147800,148430,630
85,10122,312,140880,144310,3430
86,10122,317,148080,148690,610
87,10122,318,4590,5140,550
88,10122,331,90360,90970,610
89,10122,334,182070,182730,660
90,10122,335,2580,3180,600
91,10122,337,220880,221790,910
92,10122,339,480330,480760,430
93,10122,340,810,2180,1370
94,10122,341,142810,143420,610
95,10122,342,1600,2230,630
96,10122,347,168010,169530,1520
97,10122,348,290,780,490
98,10122,351,153050,154390,1340
99,10122,352,2820,3430,610
100,10122,354,173170,174130,960
101,10122,357,135800,136340,540
102,10122,358,1260,1490,230
103,10122,368,142080,142690,610
104,10122,369,4320,4830,510
105,10122,370,160820,161430,610
106,10122,371,5950,6600,650
107,10122,375,154250,154860,610
108,10122,376,16750,17230,480
109,10122,381,108260,108840,580
110,10122,382,9850,10430,580
111,10122,386,131970,132550,580
112,10122,387,6090,6690,600
113,10122,398,148540,149100,560
114,10122,399,14090,14570,480
115,10122,403,158050,158870,820
116,10122,404,6320,6850,530
117,10122,406,138700,139320,620
118,10122,407,4710,5200,490
119,10122,409,135150,135780,630
120,10122,410,210,680,470
121,10122,413,154060,154860,800
122,10122,414,2410,2970,560
123,10122,415,143850,144290,440
124,10122,416,4410,4940,530
125,10122,425,154680,155350,670
126,10122,426,4000,4270,270
127,10122,427,154380,154960,580
128,10122,428,1300,1700,400
129,10122,430,181460,182090,630
130,10122,431,2620,3160,540
131,10122,432,173070,173670,600
132,10122,433,3040,3580,540
133,10122,437,23850,24440,590
134,10122,438,1890,3160,1270
135,10122,446,195350,196110,760
136,10122,447,8430,8960,530
137,10122,448,166150,166760,610
138,10122,449,5060,5470,410
139,10122,453,155160,155620,460
140,10122,454,8420,8930,510
141,10122,456,82900,83460,560
142,10122,457,1580,2210,630
143,10122,459,146940,148360,1420
144,10122,468,8510,9260,750
145,10122,469,1960,3910,1950
146,10122,471,30290,30860,570
147,10122,472,3440,3930,490
148,10122,473,164240,164890,650
149,10122,474,3390,3820,430
150,10122,475,180380,180920,540
151,10122,476,5960,6440,480
152,10122,478,138700,139300,600
153,10122,479,8410,8830,420
154,10122,489,165420,166110,690
155,10122,490,3400,4060,660
156,10122,492,165080,165660,580
157,10122,492,171090,171620,530
158,10122,495,70960,71540,580
159,10122,496,1990,4810,2820
160,10122,499,142510,143120,610
161,10122,500,2490,2930,440
162,10122,505,137620,138170,550
163,10122,506,9180,9660,480
164,10122,508,141020,141630,610
165,10122,509,4920,5440,520
166,10122,514,165120,165680,560
167,10122,515,1910,2620,710
168,10122,518,151880,152440,560
169,10122,518,158520,159090,570
170,10122,523,157250,157860,610
171,10122,530,211890,212480,590
172,10122,531,5040,5510,470
173,10122,544,144810,145380,570
174,10122,545,3660,4220,560
175,10122,548,161640,162170,530
176,10122,549,5470,5970,500
177,10122,550,129520,130150,630
178,10122,551,2660,4020,1360
179,10122,555,59870,60460,590
180,10122,555,66950,67580,630
181,10122,560,2220,2890,670
182,10122,565,148480,149370,890
183,10122,566,7910,8530,620
184,10122,575,13740,14330,590
185,10122,576,1840,2370,530
186,10122,577,151130,151750,620
187,10122,578,2680,3340,660
188,10122,579,188350,189090,740
189,10122,586,13700,14260,560
190,10122,589,123310,124370,1060
191,10122,601,169060,169850,790
192,10122,602,8570,9210,640
193,10122,603,159160,159780,620
194,10122,604,7130,7630,500
195,10122,607,160700,161250,550
196,10122,608,2670,3420,750
197,10122,612,163330,164180,850
198,10122,613,6090,6540,450
199,10122,622,157950,158650,700
200,10122,623,1780,2560,780
201,10122,633,165050,165720,670
202,10122,634,7050,7580,530
203,10122,640,147010,147580,570
204,10122,641,2230,2930,700
205,10122,643,187670,188250,580
206,10122,644,1770,2350,580
207,10122,646,6290,7110,820
208,10122,648,158980,159690,710
209,10122,649,2930,3600,670
210,10122,650,152960,154310,1350
211,10122,651,4650,5220,570
212,10122,652,157340,158010,670
213,10122,653,5040,5780,740
214,10122,655,153930,154650,720
215,10122,659,163310,163800,490
216,10122,660,2040,2780,740
217,10122,662,155480,156160,680
218,10122,665,143780,144500,720
219,10122,666,1170,8260,7090
220,10122,668,7380,8310,930
221,10122,669,1730,2440,710
222,10122,670,143080,143720,640
223,10122,671,820,1530,710
224,10122,673,146060,146950,890
225,10122,675,29550,30080,530
226,10122,676,1260,1750,490
227,10122,679,25950,26400,450
228,10122,680,3470,4090,620
229,10122,682,27910,28360,450
230,10122,683,2660,3270,610
231,10122,687,3150,3690,540
232,10122,688,143230,143700,470
233,10122,694,144520,145030,510
234,10122,695,890,1340,450
235,10122,698,129460,130190,730
236,10122,699,1760,2370,610
237,10122,701,14900,15430,530
238,10122,702,1070,1800,730
239,10122,704,151570,152230,660
240,10122,705,4950,5540,590
241,10122,723,182920,183410,490
242,10122,737,135620,136110,490
243,10122,738,6020,6720,700
244,10122,741,161540,162090,550
245,10122,742,2340,7420,5080
246,10122,744,11120,11610,490
247,10122,744,15710,16240,530
248,10122,746,146830,147480,650
249,10122,747,1550,3240,1690
250,10122,755,144750,145440,690
251,10122,756,4380,4910,530
252,10122,757,154290,154900,610
253,10122,758,2490,3210,720
254,10122,760,147970,148570,600
255,10122,761,620,1220,600
256,10122,764,148610,151030,2420
257,10122,765,2220,2460,240
258,10122,766,151290,151980,690
259,10122,767,510,1220,710
260,10122,768,152370,152970,600
261,10122,769,3390,3940,550
262,10122,770,128510,129060,550
263,10122,771,1300,2530,1230
264,10122,775,137370,137940,570
265,10122,776,3760,4210,450
266,10122,778,151650,152320,670
267,10122,779,2180,2700,520
268,10122,797,159730,160290,560
269,10122,798,1330,1750,420
270,10122,801,171170,171680,510
271,10122,802,8640,9180,540
272,10122,803,140280,140850,570
273,10122,804,4400,5030,630
274,10122,808,153480,153990,510
275,10122,809,1120,1750,630
276,10122,810,139050,139530,480
277,10122,811,2680,3160,480
278,10122,816,136620,137150,530
279,10122,817,1170,1750,580
280,10122,819,250610,251170,560
281,10122,819,257570,258080,510
282,10122,821,159160,159700,540
283,10122,822,3060,3570,510
284,10122,827,174500,175010,510
285,10122,828,2190,2710,520
286,10122,829,195630,196140,510
287,10122,830,1380,1920,540
288,10122,832,153140,153740,600
289,10122,833,3400,4080,680
290,10122,845,181040,181610,570
291,10122,846,5430,6130,700
292,10122,849,168870,169530,660
293,10122,850,2430,3030,600
294,10122,855,142160,142780,620
295,10122,856,5490,5940,450
296,10122,859,154320,154890,570
297,10122,860,2610,2990,380
298,10122,861,183680,184350,670
299,10122,862,3810,5060,1250
300,10122,865,161910,162520,610
301,10122,866,3270,3730,460
302,10122,871,54820,55450,630
303,10122,871,61080,61610,530
304,10122,872,2590,3240,650
305,10122,873,2330,2900,570
306,10122,877,149600,150370,770
307,10122,878,8950,9560,610
308,10122,887,159520,160150,630
309,10122,888,2080,2690,610
310,10122,893,6720,7460,740
311,10122,894,152570,153210,640
312,10122,895,3910,4650,740
313,10122,897,162250,162840,590
314,10122,898,2530,3350,820
315,10122,899,141300,141920,620
316,10122,899,147720,148280,560
317,10122,901,52750,53260,510
318,10122,902,2140,2880,740
319,10122,909,155970,156770,800
320,10122,909,161370,162670,1300
321,10122,912,158380,159000,620
322,10122,913,5090,5790,700
323,10122,915,164500,165970,1470
324,10122,915,171350,171850,500
325,10122,919,151170,151880,710
326,10122,922,47080,47760,680
327,10122,924,19460,20040,580
328,10122,935,215590,216120,530
329,10122,936,5800,6380,580
330,10122,937,176270,176830,560
331,10122,938,8120,8690,570
332,10122,945,156600,157220,620
333,10122,946,4720,5220,500
334,10122,947,146640,147200,560
335,10122,961,157410,158460,1050
336,10122,962,2170,2670,500
337,10122,965,154860,155450,590
338,10122,966,2710,3290,580
339,10122,967,149600,150190,590
340,10122,968,1840,2500,660
341,10122,971,115830,116640,810
342,10122,972,200,920,720
343,10122,976,144630,145140,510
344,10122,977,4410,4880,470
345,10122,983,192570,193020,450
346,10122,983,201170,201830,660
347,10122,985,158710,159400,690
348,10122,988,5390,6130,740
349,10122,989,157700,158270,570
350,10122,990,1120,2570,1450
351,10122,995,154850,155340,490
352,10122,995,159210,159690,480
353,10122,997,131150,131720,570
354,10122,998,1160,1490,330
355,10122,999,42880,43530,650
356,10122,1000,2240,2760,520
357,10122,1004,151860,152470,610
358,10122,1005,1320,1800,480
359,10122,1006,150470,152040,1570
360,10122,1007,3940,4450,510
361,10122,1011,147730,148330,600
362,10122,1011,154520,155130,610
363,10122,1020,180770,181360,590
364,10122,1021,1500,1540,40
365,10122,1023,148450,149040,590
366,10122,1024,3360,4090,730
367,10122,1032,178790,179380,590
368,10122,1033,2370,2980,610
369,10122,1034,174660,175330,670
370,10122,1036,132090,132690,600
371,10122,1037,3150,3710,560
372,10122,1040,185260,185930,670
373,10122,1041,1120,1620,500
374,10122,1043,159160,159810,650
375,10122,1044,2980,3470,490
376,10122,1046,7420,7900,480
377,10122,1046,16080,16670,590
378,10122,1048,134470,134990,520
379,10122,1049,2160,2680,520
380,10122,1060,148900,151850,2950
381,10122,1061,1640,2000,360
382,10122,1062,42560,42940,380
383,10122,1063,2080,2510,430
384,10122,1065,16170,16600,430
385,10122,1066,4020,4620,600
386,10122,1067,148420,149040,620
387,10122,1068,5880,6470,590
388,10122,1069,150000,150610,610
389,10122,1070,2100,2520,420
390,10122,1071,138420,138990,570
391,10122,1072,4220,4730,510
392,10122,1073,148600,149180,580
393,10122,1074,4450,5370,920
394,10122,1075,151220,152240,1020
395,10122,1076,6450,7160,710
396,10122,1077,162600,164440,1840
397,10122,1078,1860,2500,640
398,10122,1085,142030,142690,660
399,10122,1086,2870,4190,1320
400,10122,1088,12650,13060,410
401,10122,1089,3680,4230,550
402,10122,1091,148290,148840,550
403,10122,1092,3430,4150,720
404,10122,1094,147800,148720,920
405,10122,1095,3440,3980,540
406,10122,1096,146030,146740,710
407,10122,1097,2660,3140,480
408,10122,1115,163790,164470,680
409,10122,1116,3760,4450,690
410,10122,1118,204880,205590,710
411,10122,1119,2470,3930,1460
412,10122,1120,183600,184310,710
413,10122,1120,190370,190800,430
414,10122,1123,77190,77600,410
415,10122,1123,85530,86140,610
416,10122,1126,49080,49470,390
417,10122,1126,52880,53460,580
418,10122,1129,144760,145390,630
419,10122,1130,2160,2840,680
420,10122,1136,153000,153560,560
421,10122,1136,159210,159700,490
422,10122,1138,185950,187370,1420
423,10122,1139,200,700,500
424,10122,1142,176680,177810,1130
425,10122,1143,6180,6730,550
426,10122,1224,145640,146870,1230
427,10122,1225,2130,2580,450
428,10122,1228,151920,152530,610
429,10122,1229,200,680,480
430,10122,1234,167620,168420,800
431,10122,1239,130350,130970,620
432,10122,1240,1670,2190,520
433,10122,1263,133570,136160,2590
434,10122,1287,124000,124700,700
435,10122,1295,196270,197060,790
436,10122,1296,3410,4140,730
437,10122,1297,52830,53390,560
438,10122,1298,1660,2410,750
439,10122,1304,250180,250880,700
440,10122,1305,1740,2390,650
441,10122,1312,146190,146810,620
442,10122,1312,152570,153100,530
443,10122,1315,179640,180300,660
444,10122,1316,5490,6070,580
445,10122,1318,168960,169860,900
446,10122,1319,3710,4310,600
447,10122,1322,167680,168290,610
448,10122,1323,14200,14950,750
449,10122,1325,254460,255060,600
450,10122,1326,6800,7470,670
451,10122,1329,168400,169090,690
452,10122,1330,290,1580,1290
453,10122,1337,152010,152640,630
454,10122,1338,10300,10750,450
455,10122,1339,206550,207240,690
456,10122,1340,1160,1860,700
457,10122,1341,145660,146220,560
458,10122,1342,18220,18830,610
459,10122,1343,429970,430710,740
460,10122,1344,4600,5120,520
461,10122,1345,143840,144440,600
462,10122,1346,4060,4620,560
463,10122,1354,420480,421620,1140
464,10122,1355,11230,11950,720
465,10122,1356,170360,171020,660
466,10122,1357,3990,4580,590
467,10122,1359,201120,202240,1120
468,10122,1359,208550,209140,590
469,10122,1361,171800,172650,850
470,10122,1362,4550,5090,540
471,10122,1365,47810,48380,570
472,10122,1366,1380,2100,720
473,10122,1373,133150,133660,510
474,10122,1373,142560,143270,710
475,10122,1379,508220,509000,780
476,10122,1379,517000,517830,830
477,10122,1381,466410,479550,13140
478,10122,1382,1080,1910,830
479,10122,1384,157330,157960,630
480,10122,1385,6370,7030,660
481,10122,1395,160440,161850,1410
482,10122,1396,2640,3200,560
483,10122,1397,33710,34210,500
484,10122,1397,44820,45570,750
485,10122,1402,157790,158470,680
486,10122,1403,6280,6950,670
487,10122,1408,152470,153160,690
488,10122,1409,5940,6610,670
489,10122,1410,163640,164320,680
490,10122,1411,1620,2190,570
491,10122,1412,153990,154850,860
492,10122,1413,11040,11540,500
493,10122,1427,148330,149050,720
494,10122,1428,2030,2650,620
495,10122,1430,196700,199040,2340
496,10122,1431,12810,13520,710
497,10122,1433,144410,145750,1340
498,10122,1434,2050,2750,700
499,10122,1437,174260,175890,1630
500,10122,1438,4240,4960,720
501,10122,1439,158830,159590,760
502,10122,1440,210,640,430
503,10122,1460,181560,182160,600
504,10122,1461,2400,3020,620
505,10122,1463,183460,184080,620
506,10122,1464,2570,3210,640
507,10125,715,4110,4130,20
508,10129,414,27300,29100,1800
509,10129,2497,1800,1840,40
510,10130,1242,6910,8150,1240
511,10130,1243,15240,16420,1180
512,10133,97,7730,8740,1010
513,10134,401,15570,15570,0
514,10137,4,680,1240,560
515,10137,1247,4300,4530,230
516,10138,309,4370,5100,730
517,10138,3112,5040,5110,70
518,10138,3130,2260,2390,130
519,10138,3333,2520,2650,130
520,10139,782,71680,74190,2510
521,10139,832,82750,83520,770
522,10139,5014,61310,65660,4350
523,10139,5018,92320,96180,3860
524,10139,5020,66230,69050,2820
525,10139,7138,90720,93670,2950
526,10140,1025,7180,7730,550
527,10140,1026,200,480,280
528,10141,13,163340,163810,470
529,10141,554,10540,10830,290
530,10141,601,62760,63210,450
531,10141,748,185300,185760,460
532,10141,748,189670,191770,2100
533,10145,1571,5760,5760,0
534,10150,292,83680,84410,730
535,10150,366,82270,82740,470
536,10150,366,87830,88740,910
537,10150,403,32590,33100,510
538,10150,430,40790,41180,390
539,10150,518,111570,111980,410
540,10150,520,6970,7470,500
541,10150,769,199660,215470,15810
542,10150,781,191900,202740,10840
543,10150,1952,28410,28870,460
544,10150,2300,22230,24930,2700
545,10150,2784,190,3550,3360
546,10150,3024,2550,3650,1100
547,10150,3087,116810,118080,1270
548,10150,3088,1240,1910,670
549,10150,3145,6870,8030,1160
550,10150,3973,1510,2380,870
551,10150,3985,1220,2910,1690
552,10150,4039,16090,18060,1970
553,10150,4067,52070,53190,1120
554,10150,4158,2740,2740,0
555,10150,5473,14250,22700,8450
556,10150,5473,25110,26610,1500
557,10150,5671,31290,31300,10
558,10155,633,69220,70220,1000
559,10155,659,55710,57510,1800
560,10155,1051,45170,46120,950
561,10155,1148,11620,12860,1240
562,10160,710,117420,117910,490
563,10160,710,124690,126130,1440
564,10160,711,2610,3960,1350
565,10160,716,163180,163700,520
566,10160,3365,340,470,130
567,10160,3678,1150,4840,3690
568,10161,989,40590,41790,1200
569,10161,2166,70840,74410,3570
570,10161,2167,9980,45820,35840
571,10161,2168,45950,52420,6470
572,10161,2184,91230,91740,510
573,10161,2185,210,390,180
574,10164,186,53060,53520,460
575,10164,186,56150,60680,4530
576,10164,187,960,1520,560
