Event,Device,Trip,Starttime,Endtime,Duration
1,501,741,19920,20520,600
2,501,744,167390,167940,550
3,501,747,7090,7090,0
4,501,749,161050,161580,530
5,501,754,12230,12980,750
6,501,755,156450,157020,570
7,501,759,13480,14250,770
8,501,760,12790,13350,560
9,501,761,166440,167090,650
10,501,767,160880,161570,690
11,501,768,9440,10120,680
12,501,774,110430,111120,690
13,501,777,145870,146540,670
14,502,661,53920,54570,650
15,552,340,110810,111580,770
16,552,360,102910,103970,1060
17,552,374,153950,154970,1020
18,552,380,161980,162850,870
19,552,382,172920,173820,900
20,10005,38,30440,30830,390
21,10129,963,3970,3970,0
22,10129,1102,23450,23580,130
23,10138,3130,2830,2830,0
24,10150,3078,750,870,120
25,10150,5473,53200,54280,1080
26,10150,5486,14350,15030,680
27,10150,5502,44910,45560,650
28,10150,5509,16240,16920,680
29,10150,5564,55520,56160,640
30,10150,5572,19420,20140,720
31,10150,5579,11990,12620,630
32,10150,5584,11880,12520,640
33,10150,5588,38500,39290,790
34,10150,5592,14400,15260,860
35,10150,5607,45130,45890,760
36,10150,5630,41100,41760,660
37,10150,5646,11250,12020,770
38,10150,5651,12580,13300,720
39,10150,5655,20990,21780,790
40,10150,5663,18340,19040,700
41,10150,5677,14400,15090,690
42,10150,5690,12880,13540,660
43,10150,5699,20060,20770,710
44,10150,5703,17740,18470,730
45,10150,5773,19790,20580,790
46,10150,5798,14120,15010,890
47,10150,5802,16440,17330,890
48,10155,226,47720,56600,8880
49,10155,447,2520,4300,1780
50,10155,447,5520,284910,279390
51,10155,558,17170,22770,5600
52,10155,1231,31570,32670,1100
53,10155,1231,35980,36780,800
54,10161,865,24650,25400,750
55,10164,2171,13820,13910,90
56,10165,15,10290,11840,1550
57,10165,20,67410,69490,2080
58,10165,21,200,2630,2430
59,10165,29,77880,80210,2330
60,10165,33,71500,91930,20430
61,10165,34,200,25640,25440
62,10165,39,19140,20920,1780
63,10165,44,20700,22290,1590
64,10165,45,200,4440,4240
65,10165,50,76350,88130,11780
66,10165,55,11230,14540,3310
67,10165,76,11390,23740,12350
68,10165,77,200,4450,4250
69,10165,80,60410,69360,8950
70,10165,81,210,3860,3650
71,10165,84,76320,85530,9210
72,10165,89,68020,84010,15990
73,10165,98,12780,15090,2310
74,10165,127,76250,78960,2710
75,10165,130,75310,79730,4420
76,10165,131,210,350,140
77,10165,134,7020,7580,560
78,10165,135,200,3100,2900
79,10165,140,65710,78940,13230
80,10165,163,62640,75000,12360
81,10165,164,180,4070,3890
82,10165,167,75050,80930,5880
83,10165,168,200,250,50
84,10165,174,65900,73670,7770
85,10165,175,200,10230,10030
86,10165,175,13150,14610,1460
87,10165,184,77770,83730,5960
88,10165,188,75650,78060,2410
89,10165,189,200,4130,3930
90,10165,197,73560,88420,14860
91,10165,202,84220,89820,5600
92,10165,210,63440,68530,5090
93,10165,214,61390,63980,2590
94,10165,215,200,7390,7190
95,10165,220,59020,78170,19150
96,10165,221,200,1610,1410
97,10165,236,60920,64300,3380
98,10165,241,59940,61810,1870
99,10165,246,79550,84860,5310
100,10165,247,260,3900,3640
101,10165,253,70060,74870,4810
102,10165,254,200,1760,1560
103,10165,285,111340,115840,4500
104,10165,293,70540,140720,70180
105,10165,297,89480,95140,5660
106,10165,298,200,1250,1050
107,10165,302,79770,90770,11000
108,10165,303,210,1280,1070
109,10165,308,80230,82200,1970
110,10165,330,109170,111100,1930
111,10165,331,210,1190,980
112,10165,334,94840,100310,5470
113,10165,350,91160,92710,1550
114,10165,351,200,6090,5890
115,10165,355,66790,73020,6230
116,10165,359,81500,93020,11520
117,10165,365,77670,80850,3180
