Trip,Starttime,Endtime,vehicle_id,trip_id,event_id,milliseconds,datetime,fix_mode,lat,long,alt,speed,heading,accuracy_horiz,accuracy_vert,accuracy_speed,accuracy_heading,acc,yaw_rate,yaw_rate_dot,range,range_rate,event_marker
3344,32900,34380,54,3344,4,331200,2019-03-13T16:30:53138Z,4.0,42.301141,-83.7061577,273.45341,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.3968822491332769,0.16999816,-3.14990234,37.5625,-5.9375,False
3344,32900,34380,54,3344,4,331300,2019-03-13T16:30:53100000043Z,4.0,42.301141,-83.706161725,273.4472425,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.3922773983499106,0.36000061,-0.44995117,37.5,0.0,False
3344,32900,34380,54,3344,4,331400,2019-03-13T16:30:53199999948Z,4.0,42.301141,-83.70616614,273.440814,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.5016228173174188,0.02499389,-2.69995117,37.25,0.0,False
3344,32900,34380,54,3344,4,331500,2019-03-13T16:30:53299999852Z,4.0,42.301141,-83.7061702,273.434804,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.4924943120492581,-0.00500488,-0.44995117,37.4375,0.0,False
3344,32900,34380,54,3344,4,331600,2019-03-13T16:30:53400000003Z,4.0,42.301141,-83.70617376666667,273.39066,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4775787011082977,-0.11500549,-0.44995117,38.5625,0.0,False
3344,32900,34380,54,3344,4,331700,2019-03-13T16:30:53499999997Z,4.0,42.301141,-83.706177525,273.3827475,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4226855030054257,-0.47000122,-0.89990234,40.5,0.0,False
3344,32900,34380,54,3344,4,331800,2019-03-13T16:30:53600000020Z,4.0,42.301141,-83.70618148,273.3742,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.3914118204029475,-0.44000244,0.44995117,41.1875,0.0,False
3344,32900,34380,54,3344,4,331900,2019-03-13T16:30:53700000044Z,4.0,42.301141,-83.70618532,273.365998,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4610181174610613,-0.36000061,3.14990234,42.125,0.0,False
3344,32900,34380,54,3344,4,332000,2019-03-13T16:30:53800000068Z,4.0,42.301141,-83.70618976,273.3564,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.3426439808377426,-0.40499877,0.89990234,42.3125,0.0,False
3344,32900,34380,54,3344,4,332100,2019-03-13T16:30:53900000092Z,4.0,42.301141,-83.7061938,273.347394,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.3894008112473773,-0.55999755,3.60009765,46.4375,-5.5,False
3344,32900,34380,54,3344,4,332200,2019-03-13T16:30:5456Z,4.0,42.301141,-83.70619740000001,273.339998,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.5224064784491801,-0.61500549,-1.35009765,41.625,0.0,False
3344,32900,34380,54,3344,4,332300,2019-03-13T16:30:5499999961Z,4.0,42.301141,-83.70620149999999,273.331,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.270327098902352,-0.41499328,7.64990234,41.375,0.0,False
3344,32900,34380,54,3344,4,332400,2019-03-13T16:30:54199999866Z,4.0,42.301141,-83.70620576,273.322,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4186771575153057,-0.41000366,-1.35009765,45.4375,-5.9375,False
3344,32900,34380,54,3344,4,332500,2019-03-13T16:30:54299999770Z,4.0,42.301141,-83.7062098,273.3134,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.3225546360345895,-0.1000061,2.69995117,41.125,0.0,False
3344,32900,34380,54,3344,4,332600,2019-03-13T16:30:54400000010Z,4.0,42.301141,-83.70621326666667,273.2956766666666,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.3696401780504617,-0.06500244,-9.89990234,40.875,0.0,False
3344,32900,34380,54,3344,4,332700,2019-03-13T16:30:54500000033Z,4.0,42.301141,-83.7062172,273.28766666666667,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.3031726686249446,0.1349945,4.5,41.1875,0.0,False
3344,32900,34380,54,3344,4,332800,2019-03-13T16:30:54600000057Z,4.0,42.301141,-83.70622091666667,273.2803333333333,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.4850744344738231,0.22000122,1.80004882,44.25,-5.6875,False
3344,32900,34380,54,3344,4,332900,2019-03-13T16:30:54700000081Z,4.0,42.301141,-83.7062251,273.271,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.2553097892762682,0.04499816,-4.94995117,43.375,-5.6875,False
3344,32900,34380,54,3344,4,333000,2019-03-13T16:30:54750000093Z,4.0,42.301141,-83.7062286,273.264,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.4985872285792014,0.08000183,-1.35009765,43.125,-4.9375,False
3344,32900,34380,54,3344,4,333100,2019-03-13T16:30:54850000117Z,4.0,42.301141,-83.7062325,273.25601,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.4224018096632295,0.01499938,-9.44995117,39.9375,0.0,False
3344,32900,34380,54,3344,4,333200,2019-03-13T16:30:5593Z,4.0,42.301141,-83.70623690000001,273.24701000000005,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.3405522373677355,0.1000061,0.89990234,39.25,0.0,False
3344,32900,34380,54,3344,4,333300,2019-03-13T16:30:5550000045Z,4.0,42.301141,-83.7062404,273.23901,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.2371473074930696,-0.28500366,-6.30004882,39.0,0.0,False
3344,32900,34380,54,3344,4,333400,2019-03-13T16:30:55199999902Z,4.0,42.301141,-83.706244975,273.23001250000004,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.2960795637213371,-0.25500488,4.5,38.75,0.0,False
3344,32900,34380,54,3344,4,333500,2019-03-13T16:30:55299999807Z,4.0,42.301141,-83.7062493,273.22142,3.286,270.03872,0.67,1.262,0.121,0.0004099,0.4431724094551564,-0.55999755,-7.64990234,39.1875,0.0,False
3344,32900,34380,54,3344,4,333600,2019-03-13T16:30:55400000017Z,4.0,42.3011409,-83.7062535,273.15242,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.4353523502297693,-0.30000305,8.10009765,38.6875,0.0,False
3344,32900,34380,54,3344,4,333700,2019-03-13T16:30:55500000011Z,4.0,42.3011408,-83.70625733333333,273.14368,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.5421507777149263,-0.5099945,2.69995117,38.4375,0.0,False
3344,32900,34380,54,3344,4,333800,2019-03-13T16:30:55600000035Z,4.0,42.3011408,-83.70626136666667,273.1356866666667,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.5330248997936453,-0.61999511,0.0,38.1875,0.0,False
3344,32900,34380,54,3344,4,333900,2019-03-13T16:30:55700000058Z,4.0,42.3011408,-83.706265125,273.1279925,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.6216775725026715,-0.7250061,-4.05004882,42.0625,-5.4375,False
3344,32900,34380,54,3344,4,334000,2019-03-13T16:30:55800000082Z,4.0,42.3011408,-83.70626933333332,273.11934,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.4880831354425,-0.78500366,-4.05004882,38.0,0.0,False
3344,32900,34380,54,3344,4,334100,2019-03-13T16:30:55850000094Z,4.0,42.3011407,-83.7062728,273.11199,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.3832314428983479,-0.67999267,2.25,37.75,0.0,False
3344,32900,34380,54,3344,4,334200,2019-03-13T16:30:56130Z,4.0,42.3011407,-83.70627743333333,273.10266666666666,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.3661043942011148,-1.05999755,-5.39990234,37.5,-3.9375,False
3344,32900,34380,54,3344,4,334300,2019-03-13T16:30:5650000082Z,4.0,42.3011407,-83.7062808,273.096,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.5585793363557846,-0.8849945,-0.89990234,37.0,-4.375,False
3344,32900,34380,54,3344,4,334400,2019-03-13T16:30:56199999939Z,4.0,42.3011407,-83.70628554,273.0854,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.4626589014918721,-0.92999267,2.25,36.5,-4.875,False
3344,32900,34380,54,3344,4,334500,2019-03-13T16:30:56299999844Z,4.0,42.3011406,-83.70628956,273.07741,3.316,269.54342,0.672,1.264,0.12,0.0003699,0.5559691302361912,-0.91000366,3.60009765,36.25,-4.0,False
3344,32900,34380,54,3344,4,334600,2019-03-13T16:30:56399999994Z,4.0,42.301141,-83.70629346666666,273.05717500000003,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.750939082652012,-0.55499267,2.69995117,36.0,-4.375,False
3344,32900,34380,54,3344,4,334700,2019-03-13T16:30:56499999988Z,4.0,42.301141,-83.70629796666667,273.04734,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.7299856293814516,0.16000366,3.60009765,35.75,-4.5,False
3344,32900,34380,54,3344,4,334800,2019-03-13T16:30:56600000012Z,4.0,42.301141025,-83.7063019,273.037755,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.5299659336255034,0.35499572,-0.44995117,35.25,0.0,False
3344,32900,34380,54,3344,4,334900,2019-03-13T16:30:56700000035Z,4.0,42.3011411,-83.70630584999999,273.0287475,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.1505183402543816,0.05999755,-2.69995117,35.5625,0.0,False
3344,32900,34380,54,3344,4,335000,2019-03-13T16:30:56750000047Z,4.0,42.3011411,-83.7063095,273.02001,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.2416406101566897,0.2599945,0.89990234,35.3125,0.0,False
3344,32900,34380,54,3344,4,335100,2019-03-13T16:30:56850000071Z,4.0,42.3011411,-83.7063135,273.01101,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.1783991960491338,0.375,6.75,35.0625,0.0,False
3344,32900,34380,54,3344,4,335200,2019-03-13T16:30:56950000095Z,4.0,42.3011411,-83.7063172625,273.00251,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.071632665733069,0.19000244,-7.64990234,34.625,0.0,False
3344,32900,34380,54,3344,4,335300,2019-03-13T16:30:5799999952Z,4.0,42.3011413,-83.706322125,272.991,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.0567509670005296,-0.0037536624999999,0.6749877924999996,34.125,0.0,False
3344,32900,34380,54,3344,4,335400,2019-03-13T16:30:57199999857Z,4.0,42.3011413,-83.706326225,272.981755,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.1468964359035797,-0.16999816,-1.35009765,33.875,0.0,False
3344,32900,34380,54,3344,4,335500,2019-03-13T16:30:57299999761Z,4.0,42.3011413,-83.70633054,272.97200200000003,3.354,270.46722,0.672,1.2700001,0.123,0.0003799,0.1275055042948362,-0.23500061,12.14990234,38.5,-4.0625,False
